Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method,Dimension
Adani Ports and Special Economic Zone Limited,Unknown,1.4_total_energy_non_renewable,3506.85,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,1.4_total_energy,3789.68,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,1.4_energy_intensity,1.24e-08,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Adani Ports and Special Economic Zone Limited,Unknown,2.1_water_withdrawal,7795719.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Ports and Special Economic Zone Limited,Unknown,2.2_water_discharged,0.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Ports and Special Economic Zone Limited,Unknown,2.3_water_intensity,2.51777e-05,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Adani Ports and Special Economic Zone Limited,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_total_waste_generated,12344.53594,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_total_waste_recovered,9291.30622,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_total_waste_disposed,3053.4675,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_waste_recycled,4707.96322,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_waste_reused,539.343,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_plastic_waste,318.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_e_waste,58.05,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_battery_waste,36.61,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_biomedical_waste,14.95,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Adani Ports and Special Economic Zone Limited,Unknown,5.3_waste_intensity,4.05e-08,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
ADANI POWER LIMITED,Unknown,1.1_scope1_emissions,86427664.95,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ADANI POWER LIMITED,Unknown,1.2_scope2_emissions,1366.59,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ADANI POWER LIMITED,Unknown,1.3_scope3_emissions,24135597.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
ADANI POWER LIMITED,Unknown,1.4_total_energy_renewable,406.42,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
