Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
BHARAT HEAVY ELECTRICALS LIMITED,Other Business Services,283394464158.2102,3148.827379535669,Other business activities,0.05,157.44136897678345,0.049999999984121,0.5555555535951943,104,254.0
Dalmia Bharat Limited,Cement,139789569990.85086,1553.2174443427873,Construction,0.1,155.32174443427874,0.0999999999356175,1.1111111031626564,105,122.0
Glenmark Pharmaceuticals Limited,Pharmaceuticals,92263876310.00128,1025.1541812222365,Chemicals nec,0.15,153.77312718333548,0.1499999998536805,1.666666648602537,106,53.0
Amara Raja Energy & Mobility Limited,Power,113743349952.0,1263.814999466667,Production of electricity by coal,0.12,151.657799936,0.12,1.3333333333333333,107,67.0
United Spirits Limited,Other Business Services,267802075293.71408,2975.578614374601,Other business activities,0.05,148.77893071873004,0.0499999999831965,0.5555555534810549,108,255.0
Adani Energy Solutions Limited,Other Business Services,244465452825.2705,2716.2828091696724,Other business activities,0.05,135.81414045848362,0.0499999999815924,0.5555555532830236,109,256.0
COROMANDEL INTERNATIONAL LIMITED,Other Business Services,240639634354.9885,2673.773715055428,Other business activities,0.05,133.6886857527714,0.0499999999812998,0.5555555532468938,110,257.0
CG Power and Industrial Solutions Limited,Power,93287619586.2199,1036.5291065135543,Production of electricity by coal,0.12,124.38349278162652,0.1199999998842289,1.3333333190406187,111,78.0
JK CEMENT LIMITED,Cement,110929987345.77896,1232.5554149530997,Construction,0.1,123.25554149530996,0.0999999999188677,1.1111111010947836,112,123.0
Bharti Airtel Limited,Telecommunications,1089423791821.5612,12104.708798017346,Computer and related activities,0.01,121.04708798017346,0.0099999999991738,0.1111111110091204,113,554.0
Kalyan Jewellers India Limited,Other Business Services,216396437437.93448,2404.404860421494,Other business activities,0.05,120.22024302107472,0.0499999999792048,0.555555552988251,114,258.0
APL Apollo Tubes Limited,Healthcare,206896433521.61795,2298.8492613513104,Other business activities,0.05,114.94246306756553,0.0499999999782499,0.5555555528703688,115,259.0
Rail Vikas Nigam Limited,Other Business Services,198554026845.6376,2206.155853840418,Other business activities,0.05,110.3077926920209,0.0499999999773361,0.5555555527575486,116,260.0
KEC International Limited,Other Business Services,197716146795.91144,2196.846075510127,Other business activities,0.05,109.84230377550637,0.0499999999772401,0.5555555527456912,117,261.0
UNITED BREWERIES LIMITED,Other Business Services,194690476190.4762,2163.227513227513,Other business activities,0.05,108.16137566137566,0.0499999999768863,0.5555555527020233,118,262.0
ICICI Bank Limited,Financial Services,1917286152931.8545,21303.179477020607,"Financial intermediation, except insurance and pension funding",0.005,106.51589738510305,0.0049999999997652,0.0555555555265794,119,571.0
Kalpataru Projects International Limited,Other Business Services,188878912819.4,2098.6545868822222,Other business activities,0.05,104.93272934411112,0.0499999999761752,0.5555555526142238,120,263.0
APAR Industries Limited,Other Business Services,185812115613.27493,2064.5790623697217,Other business activities,0.05,103.22895311848607,0.0499999999757819,0.5555555525656777,121,264.0
Torrent Power,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,122,67.0
Gujarat State Electricity Corporation,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,123,67.0
JSW Energy,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,124,67.0
JINDAL STEEL & POWER LIMITED,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,125,67.0
Tata Power,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,126,67.0
SARDA ENERGY & MINERALS LIMITED,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333337,127,67.0
RELIANCE POWER LIMITED,Power,75828899967.97752,842.543332977528,Production of electricity by coal,0.12,101.10519995730336,0.119999999857574,1.333333315749888,128,79.0
Bosch limited,Other Business Services,181725000000.0,2019.1666666666667,Other business activities,0.05,100.95833333333334,0.0499999999752373,0.5555555524984334,129,265.0
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,60326313010.35322,670.2923667817024,Chemicals nec,0.15,100.54385501725535,0.149999999776217,1.666666639039143,130,54.0
Apollo Tyres Limited,Healthcare,178705838865.33118,1985.620431837013,Other business activities,0.05,99.28102159185066,0.0499999999748189,0.5555555524467845,131,266.0
Wipro Limited,IT Services,890883951517.4735,9898.710572416372,Computer and related activities,0.01,98.98710572416373,0.0099999999989897,0.111111110986391,132,555.0
Tata Consumer Products Limited,Other Business Services,176182749061.8341,1957.5861006870457,Other business activities,0.05,97.87930503435229,0.0499999999744583,0.5555555524022642,133,267.0
Radico Khaitan Limited,Other Business Services,170985131541.13013,1899.8347949014455,Other business activities,0.05,94.9917397450723,0.0499999999736819,0.5555555523064102,134,268.0
Sagar Cements,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,135,85.0
Burnpur Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,136,85.0
Prism Johnson (Cement),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,137,85.0
Kesoram Industries (Cement Division),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,138,85.0
JK Lakshmi Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,139,85.0
Mangalam Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,140,85.0
Nuvoco Vistas Corp (Nirma Cement),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,141,85.0
Cement Corporation of India,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112,142,85.0
The Ramco Cements Limited,Cement,84956751985.8782,943.9639109542022,Construction,0.1,94.39639109542024,0.0999999998940637,1.1111110980325616,143,124.0
Exide Industries Limited,Other Business Services,165881170863.56525,1843.1241207062808,Other business activities,0.05,92.15620603531404,0.0499999999728721,0.5555555522064379,144,269.0
DLF Limited,Real Estate,79936854419.41074,888.187271326786,Construction,0.1,88.8187271326786,0.0999999998874111,1.111111097211251,145,125.0
Dixon Technologies (India) Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.1111111111111111,146,548.0
Techno Electric & Engineering Company Limited,IT Services,794811487482.0,8831.2387498,Computer and related activities,0.01,88.312387498,0.01,0.1111111111111111,147,548.0
Piramal Pharma Limited,Pharmaceuticals,52857074238.44545,587.3008248716161,Chemicals nec,0.15,88.09512373074242,0.1499999997445942,1.666666635135095,148,55.0
