Company_Name,Land_Footprint_Hectares,Raw_Value,Unit,Source,Data_Tier,Num_Area_Mentions,All_Areas_Found
Lemon Tree Hotels Limited,,,,,,0,
LIC Housing Finance Limited,,,,,,0,
Life Insurance Corporation of India,,,,,,0,
Linde India Limited,,,,,,0,
Lloyds Metals and Energy Limited,,,,,,0,
LTIMindtree Limited,,,,,,0,
LT Finance Limited,,,,,,0,
LT Technology Services Limited,,,,,,0,
Lupin Limited,,,,,,0,
MACROTECH DEVELOPERS LIMITED,,,,,,0,
Mahanagar Gas Limited,,,,,,0,
MAHARASHTRA SCOOTERS LIMITED,,,,,,0,
Maharashtra Seamless Limited,,,,,,0,
Mahindra Holidays  Resorts India Limited,2.31,2.31,Hectares,XBRL_TextExtraction,Tier_1,1,2.31 ha
Mahindra Lifespace Developers Limited,,,,,,0,
Mahindra  Mahindra Financial Services Limited,,,,,,0,
Mahindra  Mahindra Limited,,,,,,0,
Manappuram Finance Limited,,,,,,0,
MANKIND PHARMA LIMITED,,,,,,0,
Man Infraconstruction Limited,,,,,,0,
Marico Limited,,,,,,0,
Maruti Suzuki India Limited,,,,,,0,
Mastek Limited,,,,,,0,
Max Financial Services Limited,,,,,,0,
MAX HEALTHCARE INSTITUTE LIMITED,,,,,,0,
Mazagon Dock Shipbuilders Limited,,,,,,0,
MedPlus Health Services Limited,,,,,,0,
Metropolis Healthcare Limited,,,,,,0,
Metro Brands Limited,,,,,,0,
Minda Corporation Limited,,,,,,0,
Mishra Dhatu Nigam Limited,,,,,,0,
MMTC LIMITED,,,,,,0,
MOIL Limited,5.0,5.0,hectares,XBRL_TextExtraction,Tier_1,1,5.00 ha
Motherson Sumi Wiring India Limited,,,,,,0,
Motilal Oswal Financial Services Limited,,,,,,0,
Mphasis Limited,,,,,,0,
MRF Limited,,,,,,0,
MUTHOOT FINANCE LIMITED,,,,,,0,
Narayana Hrudayalaya Ltd,,,,,,0,
NATCO Pharma Limited,,,,,,0,
NAVA LIMITED,,,,,,0,
Navin Fluorine International Limited,,,,,,0,
NBCC India Limited,,,,,,0,
NCC LIMITED,,,,,,0,
Nestle India Limited,,,,,,0,
NETWEB TECHNOLOGIES INDIA LIMITED,,,,,,0,
Neuland Laboratories Limited,,,,,,0,
Newgen Software Technologies Limited,,,,,,0,
NHPC Limited,,,,,,0,
Nippon Life India Asset Management Limited,,,,,,0,
NLC India Limited,100.0,100.0,hectares,XBRL_TextExtraction,Tier_1,1,100.00 ha
NMDC Limited,,,,,,0,
NMDC Steel Limited,,,,,,0,
NTPC LIMITED,,,,,,0,
NUVAMA WEALTH MANAGEMENT LIMITED,,,,,,0,
Nuvoco Vistas Corporation Limited,,,,,,0,
Oberoi Realty Limited,,,,,,0,
Oil India Limited,,,,,,0,
Olectra Greentech Limited,,,,,,0,
One 97 Communications Limited,,,,,,0,
Oracle Financial Services Software Limited,,,,,,0,
Page Industries Limited,,,,,,0,
PATANJALI FOODS LIMITED,89546.0,89546.0,ha,XBRL_TextExtraction,Tier_1,2,89546.00 ha; 89546.00 ha
PB FINTECH LIMITED,,,,,,0,
Persistent Systems Limited,,,,,,0,
Petronet LNG Limited,,,,,,0,
Pfizer Limited,,,,,,0,
Pidilite Industries Limited,,,,,,0,
Piramal Enterprises Limited,,,,,,0,
Piramal Pharma Limited,,,,,,0,
PI INDUSTRIES LIMITED,10522.2,26000.0,acres,XBRL_TextExtraction,Tier_1,1,10522.20 ha
PNB Housing Finance Limited,,,,,,0,
PNC Infratech Limited,,,,,,0,
Polycab India Limited,,,,,,0,
POLY MEDICURE LIMITED,,,,,,0,
Poonawalla Fincorp Limited,,,,,,0,
Power Finance Corporation Limited,,,,,,0,
Power Grid Corporation of India Limited,278.76,278.76,Ha,XBRL_TextExtraction,Tier_1,1,278.76 ha
Power Mech Projects Limited,,,,,,0,
Praj Industries Limited,,,,,,0,
Prestige Estates Projects Limited,,,,,,0,
Prism Johnson Limited,,,,,,0,
Procter  Gamble Health Limited,,,,,,0,
PTC Industries Limited,,,,,,0,
PUNJAB NATIONAL BANK,,,,,,0,
Punjab  Sind Bank,,,,,,0,
PVR INOX LIMITED,,,,,,0,
Quess Corp Limited,,,,,,0,
Radico Khaitan Limited,,,,,,0,
Railtel Corporation of India Limited,,,,,,0,
Rail Vikas Nigam Limited,,,,,,0,
RAJESH EXPORTS LIMITED,,,,,,0,
Ramkrishna Forgings Limited,,,,,,0,
RateGain Travel Technologies Limited,,,,,,0,
Ratnamani Metals  Tubes Limited,,,,,,0,
RATTANINDIA ENTERPRISES LIMITED,,,,,,0,
Raymond Limited,2.0235,5.0,acres,XBRL_TextExtraction,Tier_1,2,2.02 ha; 2.02 ha
RBL Bank Limited,,,,,,0,
REC Limited,,,,,,0,
Redington Limited,,,,,,0,
Redtape Limited,,,,,,0,
Relaxo Footwears Limited,,,,,,0,
Reliance Industries Limited,,,,,,0,
Reliance Infrastructure Limited,,,,,,0,
RELIANCE POWER LIMITED,,,,,,0,
Responsive Industries Limited,,,,,,0,
RHI Magnesita India Ltd,,,,,,0,
RITES Limited,,,,,,0,
Route Mobile Limited,,,,,,0,
R R Kabel Limited,,,,,,0,
Safari Industries India Limited,,,,,,0,
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,,,,,,0,
Sandur Manganese  Iron Ores Limited,152.4,152.4,hectares,XBRL_TextExtraction,Tier_1,3,152.40 ha; 152.40 ha; 9.50 ha
Sanofi India Limited,,,,,,0,
SAPPHIRE FOODS INDIA LIMITED,,,,,,0,
SARDA ENERGY  MINERALS LIMITED,,,,,,0,
SAREGAMA India Limited,,,,,,0,
SBFC Finance Limited,,,,,,0,
SBI Cards and Payment Services Limited,,,,,,0,
SBI Life Insurance Company Limited,,,,,,0,
Schaeffler India Limited,,,,,,0,
Schneider Electric Infrastructure Limited,,,,,,0,
Sheela Foam Limited,,,,,,0,
SHIPPING CORPORATION OF INDIA LIMITED,0.623,6230.0,sq. m,XBRL_TextExtraction,Tier_1,1,0.62 ha
Shoppers Stop Limited,,,,,,0,
Shree Renuka Sugars Limited,,,,,,0,
Shriram Finance Limited,,,,,,0,
Shyam Metalics and Energy Limited,,,,,,0,
Siemens Limited,,,,,,0,
Signatureglobal India Limited,,,,,,0,
SJVN Limited,,,,,,0,
SKF INDIA LIMITED,,,,,,0,
Sobha Limited,,,,,,0,
Solar Industries India Limited,,,,,,0,
Sonata Software Limited,,,,,,0,
Sona BLW Precision Forgings Limited,,,,,,0,
SRF LIMITED,,,,,,0,
Star Cement Limited,,,,,,0,
Star Health and Allied Insurance Company Limited,,,,,,0,
STATE BANK OF INDIA,,,,,,0,
Steel Authority of India Limited,,,,,,0,
Sterling and Wilson Renewable Energy Limited,,,,,,0,
SUMITOMO CHEMICAL INDIA LIMITED,,,,,,0,
SUNDARAM FINANCE LIMITED,,,,,,0,
Sundram Fasteners Limited,,,,,,0,
Sun Pharmaceutical Industries Limited,,,,,,0,
Sun Pharma Advanced Research Company Limited,,,,,,0,
Sun TV Network Limited,,,,,,0,
Supreme Industries Limited,,,,,,0,
SUPREME PETROCHEM LIMITED,,,,,,0,
SUZLON ENERGY LIMITED,,,,,,0,
Syngene International Limited,,,,,,0,
Syrma SGS Technology Limited,,,,,,0,
Tamilnad Mercantile Bank Limited,,,,,,0,
Tanla Platforms Limited,,,,,,0,
TATA CHEMICALS LIMITED,,,,,,0,
TATA COMMUNICATIONS LIMITED,,,,,,0,
Tata Consultancy Services Limited,,,,,,0,
Tata Consumer Products Limited,,,,,,0,
Tata Elxsi Limited,,,,,,0,
Tata Investment Corporation Limited,,,,,,0,
Tata Motors Limited,,,,,,0,
Tata Steel Limited,1437.719,1437.719,ha,XBRL_TextExtraction,Tier_1,3,1437.72 ha; 241.10 ha; 30.35 ha
Tata Technologies Limited,,,,,,0,
Tata Teleservices Maharashtra Limited,,,,,,0,
TBO Tek Limited,,,,,,0,
Techno Electric  Engineering Company Limited,,,,,,0,
Tech Mahindra Limited,,,,,,0,
TEGA INDUSTRIES LIMITED,,,,,,0,
Tejas Networks Limited,,,,,,0,
Thermax Limited,,,,,,0,
THE NEW INDIA ASSURANCE COMPANY LIMITED,,,,,,0,
THE PHOENIX MILLS LIMITED,,,,,,0,
The Ramco Cements Limited,,,,,,0,
Thomas Cook  India  Limited,,,,,,0,
Timken India Limited,,,,,,0,
TITAGARH RAIL SYSTEMS LIMITED,,,,,,0,
Titan Company Limited,,,,,,0,
Torrent Pharmaceuticals Limited,,,,,,0,
Torrent Power Limited,,,,,,0,
TRIDENT LIMITED,,,,,,0,
Triveni Engineering  Industries Limited,,,,,,0,
Triveni Turbine Limited,,,,,,0,
TTK PRESTIGE LIMITED,,,,,,0,
Tube Investments of India Limited,,,,,,0,
TVS Holdings Limited,,,,,,0,
TVS Motor Company Limited,,,,,,0,
TVS Supply Chain Solutions Limited,,,,,,0,
UCO BANK,,,,,,0,
Ujjivan Small Finance Bank Limited,,,,,,0,
UltraTech Cement Limited,,,,,,0,
UNION BANK OF INDIA,,,,,,0,
UNITED BREWERIES LIMITED,,,,,,0,
United Spirits Limited,,,,,,0,
Uno Minda Limited,,,,,,0,
UPL LIMITED,,,,,,0,
Usha Martin Limited,,,,,,0,
UTI Asset Management Company Limited,,,,,,0,
V-GUARD INDUSTRIES LIMITED,,,,,,0,
VALOR ESTATE LIMITED,,,,,,0,
Varroc Engineering Limited,,,,,,0,
Varun Beverages Limited,,,,,,0,
Vedanta Limited,,,,,,0,
Vedant Fashions Limited,,,,,,0,
Vesuvius India Limited,2.0,20000.0,sq m,XBRL_TextExtraction,Tier_1,1,2.00 ha
Vinati Organics Limited,,,,,,0,
VIP INDUSTRIES LIMITED,,,,,,0,
Vodafone Idea Limited,,,,,,0,
Voltamp Transformers Limited,,,,,,0,
Voltas Limited,,,,,,0,
Waaree Renewable Technologies Limited,,,,,,0,
Welspun Corp Limited,,,,,,0,
Welspun Living Limited,121.41,300.0,acres,XBRL_TextExtraction,Tier_1,1,121.41 ha
Westlife Foodworld Limited,,,,,,0,
Whirlpool of India Limited,,,,,,0,
Wipro Limited,,,,,,0,
Wockhardt Limited,,,,,,0,
YES Bank Limited,,,,,,0,
Zee Entertainment Enterprises Limited,,,,,,0,
ZENSAR TECHNOLOGIES LIMITED,,,,,,0,
Zen Technologies Limited,,,,,,0,
ZF Commercial Vehicle Control Systems India Limited,,,,,,0,
Zydus Lifesciences Limited,,,,,,0,
Zydus Wellness Limited,,,,,,0,
