Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,waste_recycled_pct,2023.0,%,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 5",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,water_discharge,303.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 115",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,water_recycling_pct,1.5,%,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 14",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,water_withdrawal,2023.0,KL,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 5",FY 2023-24,HIGH,Tier 1,PDF_Extraction
APL Apollo Tubes,Other Business Services,ghg_scope1,5695,tCO2e,https://aplapollo.com/esg-report-fy24/,FY 2023-24,MEDIUM,1,web_search
APL Apollo Tubes,Other Business Services,ghg_scope2,44287,tCO2e,https://aplapollo.com/esg-report-fy24/,FY 2023-24,MEDIUM,1,web_search
APL Apollo Tubes,Other Business Services,ghg_scope3,83.33333333333334,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
APL Apollo Tubes,Other Business Services,renewable_energy_pct,52,% (excluding new plants),https://aplapollo.com/esg-report-fy24/,FY 2023-24,MEDIUM,1,web_search
ARVIND LIMITED,Unknown,Air_Emissions_PM,2.0,UNKNOWN,"ARVIND LIMITED_2024_Sustainability Report 2024.pdf, page 80",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
ARVIND LIMITED,,energy_consumption,24.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,2022-23,0.7,Tier 2,PDF Keyword
ARVIND LIMITED,Unknown,ghg_scope1,1.0,UNKNOWN,"ARVIND LIMITED_2024_Sustainability Report 2024.pdf, page 54",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
ARVIND LIMITED,Unknown,ghg_scope2,3.0,UNKNOWN,"ARVIND LIMITED_2024_Sustainability Report 2024.pdf, page 54",UNKNOWN_YEAR,MEDIUM,Tier 1,PDF_Extraction
ARVIND LIMITED,,ghg_scope3,254.31935881627612,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
ARVIND LIMITED,,renewable_energy_pct,24.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,2022-23,0.7,Tier 2,PDF Keyword
ARVIND LIMITED,,water_discharge,86.0,%,ARVIND LIMITED_2024_Sustainability Report 2024.pdf,2022-23,0.7,Tier 2,PDF Keyword
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,ghg_scope3,27.77777777777778,MSA loss,https://www.exiobase.eu/,FY 2023-24,MEDIUM,Tier 2,EXIOBASE MRIO
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,renewable_energy_pct,53,%,https://www.adaniairports.com/sustainability-report-fy24,FY 2023-24,HIGH,1,web_search
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,waste_recycled_pct,99,% (diverted from landfill),https://www.adaniairports.com/sustainability-report-fy24,FY 2023-24,HIGH,1,web_search
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,water_recycling_pct,100,% (MIAL goal),https://www.adaniairports.com/sustainability-report-fy24,FY 2023-24,HIGH,1,web_search
Adani Energy Solutions Limited,Unknown,Air_Emissions_NOx,2.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,Air_Emissions_PM,624000.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 21",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,Air_Emissions_SOx,2.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,energy_consumption,8928871.0,mwh,"Adani Energy Solutions Limited_Download.pdf, page 77",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,ghg_scope1,2.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,ghg_scope2,2.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,ghg_scope3,2.0,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,hazardous_waste,35.2,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 21",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,land_footprint,2.6,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 204",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,renewable_energy_pct,2.0,%,"Adani Energy Solutions Limited_Download.pdf, page 34",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Adani Energy Solutions Limited,Unknown,waste_generated,35.2,UNKNOWN,"Adani Energy Solutions Limited_Download.pdf, page 21",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
