Company_Name,NumberOfLocations,ContextRef
Sheela Foam Limited,10,D_Plant_National
SHIPPING CORPORATION OF INDIA LIMITED,0,D_Plant_National
Shoppers Stop Limited,0,D_Plant_National
Shree Renuka Sugars Limited,9,D_Plant_National
Shriram Finance Limited,0,D_Plant_National
Shyam Metalics and Energy Limited,8,D_Plant_National
Siemens Limited,20,D_Plant_National
Signatureglobal India Limited,27,D_Plant_National
SJVN Limited,9,D_Plant_National
SKF INDIA LIMITED,3,D_Plant_National
Sobha Limited,67,D_Plant_National
Solar Industries India Limited,26,D_Plant_National
Sonata Software Limited,0,D_Plant_National
Sona BLW Precision Forgings Limited,7,D_Plant_National
SRF LIMITED,10,D_Plant_National
Star Cement Limited,7,D_Plant_National
Star Health and Allied Insurance Company Limited,0,D_Plant_National
STATE BANK OF INDIA,0,D_Plant_National
Steel Authority of India Limited,9,D_Plant_National
Sterling and Wilson Renewable Energy Limited,173,D_Plant_National
SUMITOMO CHEMICAL INDIA LIMITED,5,D_Plant_National
SUNDARAM FINANCE LIMITED,0,D_Plant_National
Sundram Fasteners Limited,18,D_Plant_National
Sun Pharmaceutical Industries Limited,17,D_Plant_National
Sun Pharma Advanced Research Company Limited,4,D_Plant_National
Sun TV Network Limited,0,D_Plant_National
Supreme Industries Limited,30,D_Plant_National
SUPREME PETROCHEM LIMITED,2,D_Plant_National
SUZLON ENERGY LIMITED,14,D_Plant_National
Syngene International Limited,8,D_Plant_National
Syrma SGS Technology Limited,16,D_Plant_National
Tamilnad Mercantile Bank Limited,0,D_Plant_National
Tanla Platforms Limited,0,D_Plant_National
TATA CHEMICALS LIMITED,10,D_Plant_National
TATA COMMUNICATIONS LIMITED,0,D_Plant_National
Tata Consultancy Services Limited,1,D_Plant_National
Tata Consumer Products Limited,135,D_Plant_National
Tata Elxsi Limited,0,D_Plant_National
Tata Investment Corporation Limited,0,D_Plant_National
Tata Motors Limited,7,D_Plant_National
Tata Steel Limited,76,D_Plant_National
Tata Technologies Limited,0,D_Plant_National
Tata Teleservices Maharashtra Limited,0,D_Plant_National
TBO Tek Limited,0,D_Plant_National
Techno Electric  Engineering Company Limited,50,D_Plant_National
Tech Mahindra Limited,0,D_Plant_National
TEGA INDUSTRIES LIMITED,3,D_Plant_National
Tejas Networks Limited,1,D_Plant_National
Thermax Limited,8,D_Plant_National
THE NEW INDIA ASSURANCE COMPANY LIMITED,0,D_Plant_National
THE PHOENIX MILLS LIMITED,0,D_Plant_National
The Ramco Cements Limited,23,D_Plant_National
Thomas Cook  India  Limited,0,D_Plant_National
Timken India Limited,2,D_Plant_National
TITAGARH RAIL SYSTEMS LIMITED,4,D_Plant_National
Titan Company Limited,10,D_Plant_National
Torrent Pharmaceuticals Limited,9,D_Plant_National
Torrent Power Limited,34,D_Plant_National
TRIDENT LIMITED,3,D_Plant_National
Triveni Engineering  Industries Limited,20,D_Plant_National
Triveni Turbine Limited,2,D_Plant_National
TTK PRESTIGE LIMITED,6,D_Plant_National
Tube Investments of India Limited,26,D_Plant_National
TVS Holdings Limited,0,D_Plant_National
TVS Motor Company Limited,3,D_Plant_National
TVS Supply Chain Solutions Limited,198,D_Plant_National
UCO BANK,0,D_Plant_National
Ujjivan Small Finance Bank Limited,0,D_Plant_National
UltraTech Cement Limited,549,D_Plant_National
UNION BANK OF INDIA,0,D_Plant_National
UNITED BREWERIES LIMITED,21,D_Plant_National
United Spirits Limited,22,D_Plant_National
Uno Minda Limited,41,D_Plant_National
UPL LIMITED,17,D_Plant_National
Usha Martin Limited,3,D_Plant_National
UTI Asset Management Company Limited,0,D_Plant_National
V-GUARD INDUSTRIES LIMITED,9,D_Plant_National
VALOR ESTATE LIMITED,7,D_Plant_National
Varroc Engineering Limited,26,D_Plant_National
Varun Beverages Limited,39,D_Plant_National
Vedanta Limited,96,D_Plant_National
Vedant Fashions Limited,9,D_Plant_National
Vesuvius India Limited,5,D_Plant_National
Vinati Organics Limited,3,D_Plant_National
VIP INDUSTRIES LIMITED,2,D_Plant_National
Vodafone Idea Limited,0,D_Plant_National
Voltamp Transformers Limited,2,D_Plant_National
Voltas Limited,5,D_Plant_National
Waaree Renewable Technologies Limited,48,D_Plant_National
Welspun Corp Limited,3,D_Plant_National
Welspun Living Limited,4,D_Plant_National
Westlife Foodworld Limited,0,D_Plant_National
Whirlpool of India Limited,3,D_Plant_National
Wipro Limited,0,D_Plant_National
Wockhardt Limited,8,D_Plant_National
YES Bank Limited,0,D_Plant_National
Zee Entertainment Enterprises Limited,0,D_Plant_National
ZENSAR TECHNOLOGIES LIMITED,0,D_Plant_National
Zen Technologies Limited,1,D_Plant_National
ZF Commercial Vehicle Control Systems India Limited,6,D_Plant_National
Zydus Lifesciences Limited,36,D_Plant_National
Zydus Wellness Limited,4,D_Plant_National
