Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
Patanjali Foods Ltd.,PATANJALI,PATANJALI,Agriculture & Food Processing,53991.7891896005,21596.72,,Original
AWL Agri Business Ltd.,AWL,AWL,Agriculture & Food Processing,45448.9879817565,18179.6,,Original
Bikaji Foods International Ltd.,BIKAJI,BIKAJI,Agriculture & Food Processing,14056.738657262,5622.7,,Original
Shree Renuka Sugars Ltd.,RENUKA,RENUKA,Agriculture & Food Processing,9590.9806452235,3836.39,,Original
LT Foods Ltd.,LTFOODS,LTFOODS,Agriculture & Food Processing,7152.3089588935,2860.92,,Original
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,BECTORFOOD,Agriculture & Food Processing,6989.289038005,2795.72,,Original
Dodla Dairy Ltd.,DODLA,DODLA,Agriculture & Food Processing,5546.687335918999,2218.67,,Original
Heritage Foods Ltd.,HERITGFOOD,HERITGFOOD,Agriculture & Food Processing,3415.695364878,1366.28,,Original
Maruti Suzuki India Ltd.,MARUTI,MARUTI,Automobiles & Auto Components,369377.1371020235,147750.85,,Original
Mahindra & Mahindra Ltd.,M&M,M&M,Automobiles & Auto Components,259332.67760608895,103733.07,,Original
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO,Automobiles & Auto Components,240622.20553986297,96248.88,,Original
Eicher Motors Ltd.,EICHERMOT,EICHERMOT,Automobiles & Auto Components,115281.099219479,46112.44,,Original
TVS Motor Company Ltd.,TVSMOTOR,TVSMOTOR,Automobiles & Auto Components,101275.5698570445,40510.23,,Original
Hero MotoCorp Ltd.,HEROMOTOCO,HEROMOTOCO,Automobiles & Auto Components,94909.8344495865,37963.93,,Original
Samvardhana Motherson International Ltd.,MOTHERSON,MOTHERSON,Automobiles & Auto Components,86734.436512444,34693.77,,Original
Bosch Ltd.,BOSCHLTD,BOSCHLTD,Automobiles & Auto Components,84325.0981525725,33730.04,,Original
Tube Investments of India Ltd.,TIINDIA,TIINDIA,Automobiles & Auto Components,72746.3071165865,29098.52,,Original
Bharat Forge Ltd.,BHARATFORG,BHARATFORG,Automobiles & Auto Components,60884.525940669,24353.81,,Original
MRF Ltd.,MRF,MRF,Automobiles & Auto Components,57066.67723903,22826.67,,Original
Schaeffler India Ltd.,SCHAEFFLER,SCHAEFFLER,Automobiles & Auto Components,54732.2262442345,21892.89,,Original
Balkrishna Industries Ltd.,BALKRISIND,BALKRISIND,Automobiles & Auto Components,49904.936966996,19961.97,,Original
UNO Minda Ltd.,UNOMINDA,UNOMINDA,Automobiles & Auto Components,42818.118607665005,17127.25,,Original
