Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,PDF_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Page Industries Ltd.,PAGEIND,Textiles & Apparel,40586.1232787305,https://nsearchives.nseindia.com/corporate/PAGEIND_07082025175107_BRSR202425.pdf,07-Aug-2025,True,data\brsr_reports\PAGEIND_Page Industries Ltd_BRSR.pdf,1282.3974609375
K.P.R. Mill Ltd.,KPRMILL,Textiles & Apparel,27480.400232805,https://nsearchives.nseindia.com/corporate/KPRMILL_01072025115107_BRSR31032025.pdf,01-Jul-2025,False,,0.0
Trident Ltd.,TRIDENT,Textiles & Apparel,20731.647450326494,https://nsearchives.nseindia.com/corporate/TRIDENT_01082025172626_SE_BRSR.pdf,01-Aug-2025,True,data\brsr_reports\TRIDENT_Trident Ltd_BRSR.pdf,1639.83984375
Welspun Living Ltd.,WELSPUNLIV,Textiles & Apparel,14385.6999844565,https://nsearchives.nseindia.com/corporate/WELSPUNIND_14082025182417_Reg30_BRSR_signed.pdf,14-Aug-2025,True,data\brsr_reports\WELSPUNLIV_Welspun Living Ltd_BRSR.pdf,2215.6875
Alok Industries Ltd.,ALOKINDS,Textiles & Apparel,14151.788720393,https://nsearchives.nseindia.com/corporate/ALOKIND_07082025135331_20250807_Alok_BRSR.pdf,07-Aug-2025,True,data\brsr_reports\ALOKINDS_Alok Industries Ltd_BRSR.pdf,660.873046875
Vardhman Textiles Ltd.,VTL,Textiles & Apparel,12682.9698182195,https://nsearchives.nseindia.com/corporate/VTL_02092025184755_VTL_BRSR.pdf,02-Sep-2025,True,data\brsr_reports\VTL_Vardhman Textiles Ltd_BRSR.pdf,822.8291015625
Arvind Ltd.,ARVIND,Textiles & Apparel,8208.386070596,https://nsearchives.nseindia.com/corporate/ARVIND1_16072025182606_BRSR.pdf,16-Jul-2025,True,data\brsr_reports\ARVIND_Arvind Ltd_BRSR.pdf,3092.857421875
Garware Technical Fibres Ltd.,GARFIBRES,Textiles & Apparel,7062.959900509501,https://nsearchives.nseindia.com/corporate/GARFIBRES_11082025142353_BRSRSEUpload11082025signed.pdf,11-Aug-2025,True,data\brsr_reports\GARFIBRES_Garware Technical Fibres Ltd_BRSR.pdf,2102.1416015625
Jindal Worldwide Ltd.,JINDWORLD,Textiles & Apparel,6768.113176049001,https://nsearchives.nseindia.com/corporate/JINDWORLD_23082025181714_SE_BRSR_2024-2025_Signed.pdf,23-Aug-2025,True,data\brsr_reports\JINDWORLD_Jindal Worldwide Ltd_BRSR.pdf,930.7216796875
Indo Count Industries Ltd.,ICIL,Textiles & Apparel,6643.270644432,https://nsearchives.nseindia.com/corporate/ICIL_29072025194322_BRSRIntimation.pdf,29-Jul-2025,True,data\brsr_reports\ICIL_Indo Count Industries Ltd_BRSR.pdf,967.7119140625
Gokaldas Exports Ltd.,GOKEX,Textiles & Apparel,5391.6106072505,https://nsearchives.nseindia.com/corporate/GOKEX_24082025203735_brsr.pdf,24-Aug-2025,True,data\brsr_reports\GOKEX_Gokaldas Exports Ltd_BRSR.pdf,567.6083984375
Lux Industries Ltd.,LUXIND,Textiles & Apparel,3919.556303784,https://nsearchives.nseindia.com/corporate/LUXIND_31082025224555_Lux_BRSR_2025.pdf,31-Aug-2025,True,data\brsr_reports\LUXIND_Lux Industries Ltd_BRSR.pdf,795.5419921875
Pearl Global Industries Ltd.,PGIL,Textiles & Apparel,2695.9542674040003,https://nsearchives.nseindia.com/corporate/PGIL_30062025203544_BRSR.pdf,30-Jun-2025,True,data\brsr_reports\PGIL_Pearl Global Industries Ltd_BRSR.pdf,1373.9404296875
Ganesha Ecosphere Ltd.,GANECOS,Textiles & Apparel,2615.255402886,https://nsearchives.nseindia.com/corporate/GANECOS_03092025235104_brsr.pdf,03-Sep-2025,True,data\brsr_reports\GANECOS_Ganesha Ecosphere Ltd_BRSR.pdf,777.349609375
Kitex Garments Ltd.,KITEX,Textiles & Apparel,1453.7233536585,https://nsearchives.nseindia.com/corporate/KITEX_26082025193701_KGL_BRSR_2025s.pdf,26-Aug-2025,True,data\brsr_reports\KITEX_Kitex Garments Ltd_BRSR.pdf,586.6103515625
Raymond Lifestyle Ltd.,RAYMONDLSL,Textiles & Apparel,0.0,https://nsearchives.nseindia.com/corporate/RLL_13072025111627_RLLSEintimationsigned.pdf,13-Jul-2025,True,data\brsr_reports\RAYMONDLSL_Raymond Lifestyle Ltd_BRSR.pdf,16877.1171875
NTPC Ltd.,NTPC,Power Generation,332600.9008917805,https://nsearchives.nseindia.com/corporate/NTPC2_07082025183536_BRSR_Stock_Exchange_07082025_signed.pdf,07-Aug-2025,True,data\brsr_reports\NTPC_NTPC Ltd_BRSR.pdf,701.421875
Power Grid Corporation of India Ltd.,POWERGRID,Power Generation,265104.404097148,https://nsearchives.nseindia.com/corporate/POWERGRID1_03082025201817_BRSRfinal.pdf,03-Aug-2025,True,data\brsr_reports\POWERGRID_Power Grid Corporation of Indi_BRSR.pdf,6998.3466796875
Adani Power Ltd.,ADANIPOWER,Power Generation,233359.540641503,https://nsearchives.nseindia.com/corporate/ADANIPOWER_16062025165723_APLBRSR2025.pdf,16-Jun-2025,True,data\brsr_reports\ADANIPOWER_Adani Power Ltd_BRSR.pdf,2970.078125
Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation,118282.837548594,https://nsearchives.nseindia.com/corporate/ADANITRANS_08072025191234_BRSR.pdf,08-Jul-2025,False,,0.0
JSW Energy Ltd.,JSWENERGY,Power Generation,93268.410586064,https://nsearchives.nseindia.com/corporate/RITESHJSWEL_19062025113051_LetterBRSRfiled.pdf,19-Jun-2025,True,data\brsr_reports\JSWENERGY_JSW Energy Ltd_BRSR.pdf,659.3603515625
NHPC Ltd.,NHPC,Power Generation,91551.29527503248,https://nsearchives.nseindia.com/corporate/NHPC_08082025202148_Intimation_BRSR_202425.pdf,08-Aug-2025,True,data\brsr_reports\NHPC_NHPC Ltd_BRSR.pdf,2071.7421875
Torrent Power Ltd.,TORNTPOWER,Power Generation,62106.4560709805,https://nsearchives.nseindia.com/corporate/TORNTPOWER_10072025192825_BRSR.pdf,10-Jul-2025,False,,0.0
SJVN Ltd.,SJVN,Power Generation,49000.413431018,https://nsearchives.nseindia.com/corporate/SJVN_01092025180248_brsr.pdf,01-Sep-2025,True,data\brsr_reports\SJVN_SJVN Ltd_BRSR.pdf,12838.7109375
