Company_Name,Sector,Sector_Original,Revenue_Cr
HDFC Asset Management Company Limited,Financial Services,Chemicals & Fertilizers,0.0003498029999983
HDFC Bank Limited,Financial Services,Financial Services,346004.322375042
HDFC Life Insurance Company Limited,Financial Services,Chemicals & Fertilizers,71037.20930232559
HEG Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2152.708409308324
HERO MOTOCORP LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,40755.553413964255
HFCL Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3795.240936893928
HINDALCO INDUSTRIES LIMITED,Steel & Iron,Chemicals & Fertilizers,93291.12206659108
HINDUSTAN AERONAUTICS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,30981.05002128172
HINDUSTAN COPPER LIMITED,Steel & Iron,Chemicals & Fertilizers,2070.968239760486
HONEYWELL AUTOMATION INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4189.805211558308
Happiest Minds Technologies Limited,Information Technology,Information Technology,1481.3692115143929
Happy Forgings Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1408.8943513594863
Hindustan Petroleum Corporation Limited,Oil & Gas,Oil & Gas,464246.492311146
Hindustan Unilever Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0061516999999985
Hindustan Zinc Limited,Steel & Iron,Chemicals & Fertilizers,34083.390474287924
Hitachi Energy India Limited,Chemicals & Fertilizers,Power Generation,6384.97281123227
Home First Finance Company India Limited,Financial Services,Chemicals & Fertilizers,1290.0
Honasa Consumer Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1865.9908536585365
ICICI Bank Limited,Financial Services,Financial Services,191728.61529318543
ICICI Lombard General Insurance Company Limited,Financial Services,Chemicals & Fertilizers,28265.68661971831
ICICI Prudential Life Insurance Company Limited,Financial Services,Chemicals & Fertilizers,70981.79059180577
IDBI Bank Limited,Financial Services,Financial Services,0.0033828329999842
IDFC FIRST Bank Limited,Financial Services,Financial Services,43523.96480126557
IFCI Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,679.9711991621574
IIFL Finance Limited,Financial Services,Chemicals & Fertilizers,4066.096135721018
INDIAN OVERSEAS BANK,Financial Services,Financial Services,33675.04163713678
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Financial Services,Chemicals & Fertilizers,27507.14285714286
INOX India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1296.3020079684436
INTELLECT DESIGN ARENA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,1628.099958345233
IRB Infrastructure Developers Limited,Cement,Chemicals & Fertilizers,8031.531448112886
ISGEC Heavy Engineering Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5000.0
ITC Limited,Pharmaceuticals,Chemicals & Fertilizers,74325.6484149856
Indegene Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1093.5
Indian Energy Exchange Limited,Chemicals & Fertilizers,Power Generation,535.3700999989366
Indian Oil Corporation Limited,Oil & Gas,Oil & Gas,845240.1055408971
Indian Renewable Energy Development Agency Limited,Chemicals & Fertilizers,Power Generation,6755.291479820628
Indus Towers Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,30122.77742573561
IndusInd Bank Limited,Financial Services,Financial Services,26721.87945843645
Infibeam Avenues Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3725.678650036685
Infosys Limited,Information Technology,Information Technology,162980.8355691836
Inox Wind Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3561.7128463476065
InterGlobe Aviation Limited,Information Technology,Chemicals & Fertilizers,80802.99166045837
Ion Exchange India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2540.033844765343
Ipca Laboratories Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,674.9209856738395
Ircon International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,10193.156215175768
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,6350.803978002647
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,Power Generation,5462.201273599906
JBM Auto Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5472.346575429258
JINDAL STEEL  POWER LIMITED,Steel & Iron,Steel & Iron,47902.0
JK CEMENT LIMITED,Cement,Cement,11092.998734577895
JK LAKSHMI CEMENT LIMITED,Cement,Cement,6245.697569758873
JK Tyre  Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0010176329999998
JM Financial Limited,Financial Services,Financial Services,1037.240902809765
JSW Energy Limited,Power Generation,Steel & Iron,12639.493835225972
JSW Infrastructure Limited,Cement,Steel & Iron,4476.153094210773
JSW Steel Limited,Steel & Iron,Steel & Iron,125678.00846625432
JUBILANT INGREVIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4177.615190181807
JYOTHY LABS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,2843.920011953438
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,1615.0324437915217
Jindal Stainless Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,40181.97821818428
Jio Financial Services Limited,Financial Services,Financial Services,805.608407079646
Jubilant FoodWorks Limited,Pharmaceuticals,Chemicals & Fertilizers,6104.669498206974
Jubilant Pharmova Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,7260.900900900901
Juniper Hotels Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0094427250000691
Jupiter Life Line Hospitals Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1059.988426152971
Jupiter Wagons Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3870.639564574654
Just Dial Limited,Cement,Chemicals & Fertilizers,1141.9220060268676
KARUR VYSYA BANK LIMITED,Financial Services,Financial Services,0.001150758999999
KEC International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,19771.614679591145
KEI INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,9735.91603053435
KFin Technologies Limited,Information Technology,Information Technology,1055.4681599166556
KIOCL Limited,Steel & Iron,Chemicals & Fertilizers,589.6516665241037
KNR Constructions Limited,Cement,Chemicals & Fertilizers,3176.289384792107
KOTAK MAHINDRA BANK LIMITED,Financial Services,Financial Services,67880.67370825008
KPI GREEN ENERGY LIMITED,Chemicals & Fertilizers,Power Generation,1735.4663249099742
KPIT Technologies Limited,Information Technology,Information Technology,2564.036733484744
KPR MILL LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4400.854922279793
Kajaria Ceramics Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4635.000959138626
Kalpataru Projects International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,18887.89128194
Kalyan Jewellers India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,21639.643743793447
Kaynes Technology India Limited,Information Technology,Information Technology,1915.40218517472
Keystone Realtors Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,550.6364637015513
Kirloskar Brothers Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2901.384133108272
Kirloskar Oil Engines Limited,Oil & Gas,Oil & Gas,0.0083484908
Krishna Institute of Medical Sciences Limited,Pharmaceuticals,Chemicals & Fertilizers,1384.073717176584
LAURUS LABS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,5126.9820824190965
LIC Housing Finance Limited,Financial Services,Chemicals & Fertilizers,28043.90557939914
Latent View Analytics Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,347.1471121471122
Lemon Tree Hotels Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1286.080404869998
Life Insurance Corporation of India,Financial Services,Chemicals & Fertilizers,488799.52968841855
Linde India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2485.44869624111
Lloyds Metals and Energy Limited,Steel & Iron,Power Generation,6772.722076232858
Lupin Limited,Pharmaceuticals,Chemicals & Fertilizers,16458.558489991625
MACROTECH DEVELOPERS LIMITED,Information Technology,Information Technology,13779.998960066556
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,2.9900025706669298
MANKIND PHARMA LIMITED,Pharmaceuticals,Pharmaceuticals,0.0009497800000001
MAX HEALTHCARE INSTITUTE LIMITED,Pharmaceuticals,Chemicals & Fertilizers,702.7999897351673
MOIL Limited,Chemicals & Fertilizers,Oil & Gas,1584.940943473797
MRF Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0027665219999999
MUTHOOT FINANCE LIMITED,Financial Services,Chemicals & Fertilizers,17099.088755809797
Mahanagar Gas Limited,Oil & Gas,Chemicals & Fertilizers,7589.972370639742
Maharashtra Seamless Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5463.140318900801
Mahindra  Mahindra Financial Services Limited,Financial Services,Financial Services,16073.957686882935
Mahindra  Mahindra Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,116482.68328208449
Mahindra Holidays  Resorts India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1544.912202355393
Mahindra Lifespace Developers Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,3298.323901464714
Man Infraconstruction Limited,Cement,Chemicals & Fertilizers,394.72706609368896
Manappuram Finance Limited,Financial Services,Chemicals & Fertilizers,6906.307909604521
Marico Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0007581000000011
Maruti Suzuki India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,151899.8964123295
Mastek Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,34552.30007601562
Max Financial Services Limited,Financial Services,Financial Services,0.3261372999991657
Mazagon Dock Shipbuilders Limited,Cement,Chemicals & Fertilizers,11431.877130927782
MedPlus Health Services Limited,Pharmaceuticals,Chemicals & Fertilizers,0.0067299009999247
Metro Brands Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2449.5883357906805
Metropolis Healthcare Limited,Pharmaceuticals,Chemicals & Fertilizers,0.0121654300005467
Mishra Dhatu Nigam Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1074.1014802745633
Motherson Sumi Wiring India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0093193999998721
Motilal Oswal Financial Services Limited,Financial Services,Financial Services,0.0009276460410557
Mphasis Limited,Information Technology,Chemicals & Fertilizers,0.0092710470000226
NATCO Pharma Limited,Pharmaceuticals,Pharmaceuticals,4094.505519977218
NAVA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,1612.030681047189
NBCC India Limited,Cement,Chemicals & Fertilizers,8725.369675752272
NCC LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0019392309999992
NETWEB TECHNOLOGIES INDIA LIMITED,Information Technology,Information Technology,1149.058091915668
NHPC Limited,Power Generation,Chemicals & Fertilizers,8994.281245878163
NLC India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,15282.591463414636
NMDC Limited,Steel & Iron,Chemicals & Fertilizers,23667.930187028785
NMDC Steel Limited,Steel & Iron,Steel & Iron,0.0008503049999999
NTPC LIMITED,Power Generation,Chemicals & Fertilizers,170034.1356075955
NUVAMA WEALTH MANAGEMENT LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4169.308799698102
Narayana Hrudayalaya Ltd,Chemicals & Fertilizers,Chemicals & Fertilizers,3732.308513161016
Navin Fluorine International Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2349.379130207997
Nestle India Limited,Pharmaceuticals,Chemicals & Fertilizers,20077.47779751333
Neuland Laboratories Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1475.9999691991393
Newgen Software Technologies Limited,Information Technology,Information Technology,1354.418190805734
Nippon Life India Asset Management Limited,Financial Services,Chemicals & Fertilizers,2348.317570930812
Nuvoco Vistas Corporation Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,10244.106476117606
Oberoi Realty Limited,Cement,Chemicals & Fertilizers,5286.339386440555
Oil India Limited,Chemicals & Fertilizers,Oil & Gas,22116.99094708657
Olectra Greentech Limited,Information Technology,Information Technology,1763.024979412572
One 97 Communications Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5504.323899371069
Oracle Financial Services Software Limited,Information Technology,Financial Services,5098.994493655734
PATANJALI FOODS LIMITED,Pharmaceuticals,Chemicals & Fertilizers,34156.97980241968
PB FINTECH LIMITED,Information Technology,Information Technology,0.0004977210000005
PI INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,7571.207441422829
PNB Housing Finance Limited,Financial Services,Chemicals & Fertilizers,0.0007661219999979
PNC Infratech Limited,Information Technology,Information Technology,5513.12123114306
