Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Bajaj Finance Limited,Financial Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,697342906774.7539,8.77617014605527e-10,38.74127259859744,"Financial intermediation, except insurance and pension funding",0.005,Chemicals & Fertilizers,697342906774.7539,7748.254519719488,0.004999999999354693,0.05555555547588807,167.0,439.0
Bajaj Finserv Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,1338443453587.353,4.931101110256395e-10,743.5796964374184,Other business activities,0.05,Chemicals & Fertilizers,1338443453587.353,14871.593928748367,0.04999999999663789,0.5555555551404797,20.0,93.0
Bajaj Holdings  Investment Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,16002548647.05497,4.649259417417375e-08,8.890304803919427,Other business activities,0.05,Chemicals & Fertilizers,16002548647.05497,177.80609607838855,0.0499999997187948,0.5555555208388655,342.0,321.0
Balkrishna Industries Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,1041287.9999989202,0.0005531610851182,0.0005784933333327335,Other business activities,0.05,Chemicals & Fertilizers,1041287.9999989202,0.011569866666654669,0.049995678802509755,0.5550225401552478,415.0,373.0
Balrampur Chini Mills Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,54153785508.76743,1.1522740176658106e-08,30.08543639375969,Other business activities,0.05,Chemicals & Fertilizers,54153785508.76743,601.7087278751937,0.04999999991690332,0.5555555452967059,195.0,196.0
Bandhan Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,249121131066.1062,2.328184676739014e-11,13.8400628370059,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,249121131066.1062,2768.01256740118,0.00499999999819365,0.05555555533254937,280.0,453.0
Bharat Dynamics Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,33450893172.350487,1.6143066710288857e-08,18.583829540194714,Other business activities,0.05,Chemicals & Fertilizers,33450893172.350487,371.67659080389427,0.049999999865474445,0.5555555389474627,248.0,240.0
Bharat Forge Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,88437412902.69695,5.6989455419113725e-09,49.131896057053865,Other business activities,0.05,Chemicals & Fertilizers,88437412902.69695,982.6379211410772,0.049999999949116566,0.5555555492736493,149.0,160.0
Bharti Airtel Limited,Telecommunications,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,1089423791821.5612,5.617648564262681e-10,121.04708798017346,Computer and related activities,0.01,Chemicals & Fertilizers,1089423791821.5612,12104.708798017346,0.009999999999173875,0.1111111110091204,78.0,422.0
Bharti Hexacom Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,85478859390.36382,7.721207380481297e-09,47.488255216868794,Other business activities,0.05,Chemicals & Fertilizers,85478859390.36382,949.7651043373758,0.04999999994735541,0.555555549056223,152.0,162.0
