Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,BRSR_PDF_URL,BRSR_XBRL_URL,Submission_Date,Has_BRSR,Priority,Data_Source_Expected,Source,Revenue_Cr,Website
Kalyan Jewellers India Limited,KALYANKJIL,,Consumer Durables,40608.9017,https://nsearchives.nseindia.com/corporate/KALYANKJIL_14082025120520_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1512509_14082025120531_WEB.xml,14-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Page Industries Limited,PAGEIND,,Textiles,40580.24656,https://nsearchives.nseindia.com/corporate/PAGEIND_07082025175107_BRSR202425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505486_07082025055131_WEB.xml,07-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Voltas Limited,VOLTAS,,Consumer Durables,40291.60613,https://nsearchives.nseindia.com/corporate/VOLTAS_RB_18062025170206_SE_Intimation_BRSR_signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468067_18062025050456_WEB.xml,18-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Punjab & Sind Bank,,,,39870.30122,https://nsearchives.nseindia.com/corporate/PSB_14072025155202_bsense14072025brsr.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482094_14072025035218_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
THE NEW INDIA ASSURANCE COMPANY LIMITED,NIACL,,Financial Services,39414.3987,https://nsearchives.nseindia.com/corporate/NIACL_16102025175143_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1550623_16102025055155_WEB.xml,16-Oct-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
UPL LIMITED,UPL,,Chemicals,39042.38116,https://nsearchives.nseindia.com/corporate/UPL_03072025175450_BRSRintimation.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476927_03072025055507_WEB.xml,03-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
GUJARAT GAS LIMITED,GUJGASLTD,,Oil Gas & Consumable Fuels,38503.87037,https://nsearchives.nseindia.com/corporate/GUJGASLTD_31082025112812_1483SECBRSR2425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520412_31082025112849_WEB.xml,31-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
HONEYWELL AUTOMATION INDIA LIMITED,HONAUT,,Capital Goods,38365.55675,https://nsearchives.nseindia.com/corporate/HONAUT_12062025180132_SEBRSR2425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466038_12062025060229_WEB.xml,12-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Bharat Dynamics Limited,BDL,,Capital Goods,37815.22079,https://nsearchives.nseindia.com/corporate/BDL_02092025162742_33IntimationofBRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521419_02092025042803_WEB.xml,02-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
IRB Infrastructure Developers Limited,IRB,,Construction,37736.04168,https://nsearchives.nseindia.com/corporate/IRB_23082025164224_BRSR_Intimation_signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1516680_23082025044237_WEB.xml,23-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Sona BLW Precision Forgings Limited,SONACOMS,,Automobile and Auto Components,37434.67872,https://nsearchives.nseindia.com/corporate/SONACOMS_01072025142955_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475602_01072025023205_WEB.xml,01-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Gujarat Fluorochemicals Limited,FLUOROCHEM,,Chemicals,37420.78206,https://nsearchives.nseindia.com/corporate/FLUOROCHEM_04092025184026_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1523042_04092025064051_WEB.xml,04-Sep-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,,Healthcare,37374.58647,https://nsearchives.nseindia.com/corporate/GLAXO1924_25062025171749_BRSR_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1471100_25062025051800_WEB.xml,25-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Dalmia Bharat Limited,DALBHARAT,,Construction Materials,37215.99851,https://nsearchives.nseindia.com/corporate/DALBHARAT_25062025175835_Finalbrsr2025signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1471188_25062025055858_WEB.xml,25-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
