Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Fine Organic Industries Ltd.,FINEORG,Chemicals & Fertilizers,13612.4559057555,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494047_25072025081045_WEB.xml,25-Jul-2025,True,data\brsr_xbrl\FINEORG_Fine Organic Industries Ltd_BRSR.xml,691.138671875
Aether Industries Ltd.,AETHER,Chemicals & Fertilizers,11201.614328688,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1515870_21082025064341_WEB.xml,21-Aug-2025,True,data\brsr_xbrl\AETHER_Aether Industries Ltd_BRSR.xml,729.322265625
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals & Fertilizers,10888.1271424045,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468076_18062025051714_WEB.xml,18-Jun-2025,True,data\brsr_xbrl\ALKYLAMINE_Alkyl Amines Chemicals Ltd_BRSR.xml,680.4052734375
PCBL Chemical Ltd.,PCBL,Chemicals & Fertilizers,10304.7341205295,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507514_08082025081012_WEB.xml,08-Aug-2025,True,data\brsr_xbrl\PCBL_PCBL Chemical Ltd_BRSR.xml,823.556640625
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals & Fertilizers,10148.2265753165,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1511321_13082025044438_WEB.xml,13-Aug-2025,True,data\brsr_xbrl\GNFC_Gujarat Narmada Valley Fertili_BRSR.xml,761.099609375
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals & Fertilizers,9566.4452305185,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520844_01092025060618_WEB.xml,01-Sep-2025,True,data\brsr_xbrl\GSFC_Gujarat State Fertilizers  Che_BRSR.xml,720.8046875
Anupam Rasayan India Ltd.,ANURAS,Chemicals & Fertilizers,9541.5771228885,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1522784_04092025032946_WEB.xml,04-Sep-2025,True,data\brsr_xbrl\ANURAS_Anupam Rasayan India Ltd_BRSR.xml,780.8798828125
Archean Chemical Industries Ltd.,ACI,Chemicals & Fertilizers,8032.406702804,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1435946_12052025122005_WEB.xml,12-May-2025,True,data\brsr_xbrl\ACI_Archean Chemical Industries Lt_BRSR.xml,668.6357421875
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals & Fertilizers,7852.810650229,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503509_05082025101449_WEB.xml,05-Aug-2025,True,data\brsr_xbrl\JUBLINGREA_Jubilant Ingrevia Ltd_BRSR.xml,861.865234375
Balaji Amines Ltd.,BALAMINES,Chemicals & Fertilizers,7308.9310802845,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484731_16072025071354_WEB.xml,16-Jul-2025,True,data\brsr_xbrl\BALAMINES_Balaji Amines Ltd_BRSR.xml,706.6025390625
Laxmi Organic Industries Ltd.,LXCHEM,Chemicals & Fertilizers,7025.766155986001,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1479739_09072025105447_WEB.xml,09-Jul-2025,True,data\brsr_xbrl\LXCHEM_Laxmi Organic Industries Ltd_BRSR.xml,691.564453125
Paradeep Phosphates Ltd.,PARADEEP,Chemicals & Fertilizers,6027.798661798501,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1515217_20082025044027_WEB.xml,20-Aug-2025,True,data\brsr_xbrl\PARADEEP_Paradeep Phosphates Ltd_BRSR.xml,679.0166015625
Rain Industries Ltd,RAIN,Chemicals & Fertilizers,5704.90277416,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1410850_09042025031420_WEB.xml,09-Apr-2025,True,data\brsr_xbrl\RAIN_Rain Industries Ltd_BRSR.xml,785.82421875
