Company_Name,Revenue_INR,XBRL_Tag,Unit,Decimals,Source,FY_Year,Confidence,Candidates_Found,Revenue_Cr
COROMANDEL INTERNATIONAL LIMITED,240640000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,24064.0
Craftsman Automation Limited,38479436795.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,5,3847.9436795
CreditAccess Grameen Limited,57561445322.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,5756.1445322
Crisil Limited,32597800000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,3259.78
Crompton Greaves Consumer Electricals Limited,76550459039.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,7655.0459039
Cummins India Limited,101662042796.79,Turnover,INR,2,BRSR XBRL,2023-24,High,11,10166.204279679
Cyient Limited,24614478952.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,2461.4478952
Dabur India Limited,91355983925.07,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,3,9135.598392507001
Dalmia Bharat Limited,213486368160.37,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,21348.636816037
Data Patterns India Limited,7083495904.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,708.3495904
DCM Shriram Limited,123701018717.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,12370.1018717
Deepak Nitrite Limited,27243499550.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,11,2724.349955
Delhivery Limited,89319049980.88,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,8931.904998088
Devyani International Limited,33493330000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,3349.333
DIVIS LABORATORIES LIMITED,95502918639.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,9550.2918639
Dixon Technologies India Limited,64114000000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,6411.4
DLF Limited,79936613539.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,7993.6613539
DOMS Industries Limited,17091095740.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,1709.109574
Dr Reddys Laboratories Limited,326437636642.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,3,32643.7636642
Easy Trip Planners Limited,4815250000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,481.525
eClerx Services Limited,24843632393.58,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,2,BRSR XBRL,2023-24,High,7,2484.363239358
EICHER MOTORS LIMITED,,,,,BRSR XBRL,2023-24,Not Found,0,
EIH Limited,28795064919.49,Turnover,INR,2,BRSR XBRL,2023-24,High,3,2879.506491949
Electronics Mart India Limited,69648264870.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,6964.826487
Electrosteel Castings Limited,67188444000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,6718.8444
Elgi Equipments Limited,20809000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,2080.9
Emami Limited,31754300000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,3175.43
Endurance Technologies Limited,88461468645.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,8846.1468645
Engineers India Limited,32321650000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,6,3232.165
Equitas Small Finance Bank Limited,72230000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,7223.0
Eris Lifesciences Limited,16636297121.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,1663.6297121
ESAB India Limited,137347000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,13.7347
Escorts Kubota Limited,110997511057.03,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,11099.751105703
Eureka Forbes Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
Exide Industries Limited,173441401336.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,17344.1401336
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,50549261423.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,9,5054.9261423
FINE ORGANIC INDUSTRIES LIMITED,22051944100.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,6,2205.19441
Finolex Cables Limited,53188900000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,2,5318.89
Finolex Industries Limited,45668360770.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,9,4566.836077
Firstsource Solutions Limited,23468430000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,2346.843
Five-Star Business Finance Limited,28660239000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,2866.0239
Force Motors Ltd,80712325704.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,8071.2325704
Fortis Healthcare Limited,69311670000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,2,6931.167
GAIL India Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
GALAXY SURFACTANTS LIMITED,30012700000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,11,3001.27
Garden Reach Shipbuilders  Engineers Limited,50756877000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,5075.6877
General Insurance Corporation of India,492316586543.2,TotalRevenueOfTheCompany,INR,1,BRSR XBRL,2023-24,High,7,49231.65865432
Genus Power Infrastructures Limited,24420126352.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,2442.0126352
Gillette India Limited,32173892614.99,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,3217.389261499
GLAND PHARMA LIMITED,43340942856.33,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,11,4334.094285633
GlaxoSmithKline Pharmaceuticals Limited,372348760000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,37234.876
Glenmark Pharmaceuticals Limited,92264092796.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,11,9226.4092796
GLOBAL HEALTH LIMITED,37714120000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,3771.412
GODAWARI POWER AND ISPAT LIMITED,50421159505.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,13,5042.1159505
GODFREY PHILLIPS INDIA LIMITED,67349310000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,6734.931
GODREJ AGROVET LIMITED,70877996360.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,11,7087.799636
Godrej Consumer Products Limited,100550000000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,10055.0
Godrej Industries Limited,41712152764.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,4171.2152764
Godrej Properties Limited,49228400000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,4922.84
Go Digit General Insurance Limited,102821407794.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,10282.1407794
GRANULES INDIA LIMITED,37550000000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,9,3755.0
GRAPHITE INDIA LIMITED,28943828028.82,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,11,2894.382802882
Grasim Industries Limited,315632319949.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,31563.2319949
Grindwell Norton Limited,27373643486.63,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,2,BRSR XBRL,2023-24,High,5,2737.3643486630003
Gujarat Ambuja Exports Limited,49269284899.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,8,4926.9284899
Gujarat Fluorochemicals Limited,45645500000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,9,4564.55
GUJARAT GAS LIMITED,173218763840.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,17321.876384
Gujarat Pipavav Port Limited,9884290000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,988.429
Gujarat State Petronet Limited,20315390301.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,7,2031.5390301
G R Infraprojects Limited,801325370000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,9,80132.537
Happiest Minds Technologies Limited,14813737240.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,2,1481.373724
Happy Forgings Limited,14088950000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,10,1408.895
Havells India Limited,217458124699.04,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,2,21745.812469904
HCL Technologies Limited,511050000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,51105.0
HDFC Asset Management Company Limited,34980295175.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,3498.0295175
HDFC Bank Limited,3461493235000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,346149.3235
HDFC Life Insurance Company Limited,710449130582.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,71044.9130582
HEG Limited,23949000000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,9,2394.9
HERO MOTOCORP LIMITED,407563700000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,9,40756.37
HFCL Limited,41747200000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,9,4174.72
Himadri Speciality Chemical Limited,45958034748.47,Turnover,INR,2,BRSR XBRL,2023-24,High,9,4595.803474847
HINDALCO INDUSTRIES LIMITED,933091167528.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,93309.1167528
HINDUSTAN AERONAUTICS LIMITED,309809200000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,7,30980.92
HINDUSTAN COPPER LIMITED,20709676349.62,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,3,2070.967634962
Hindustan Petroleum Corporation Limited,4687620900000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,10,468762.09
Hindustan Unilever Limited,631210000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,2,63121.0
Hindustan Zinc Limited,340833923692.98,Turnover,INR,2,BRSR XBRL,2023-24,High,11,34083.392369297995
Hitachi Energy India Limited,63849300000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,6384.93
Home First Finance Company India Limited,15299500000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,1529.95
Honasa Consumer Limited,18657065781.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,1865.7065781
HONEYWELL AUTOMATION INDIA LIMITED,41895423787.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,11,4189.5423787
ICICI Bank Limited,1917704843000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,191770.4843
ICICI Lombard General Insurance Company Limited,282577423149.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,28257.7423149
ICICI Prudential Life Insurance Company Limited,721350000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,7,72135.0
IDBI Bank Limited,338283300000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,3,33828.33
IDFC FIRST Bank Limited,435232000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,43523.2
IFCI Limited,8959400000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,895.94
IIFL Finance Limited,46494352271.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,4649.4352271
Indegene Limited,11840000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,1184.0
INDIAMART INTERMESH LIMITED,13200585004.28,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,5,1320.0585004280001
Indian Bank,712256400000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,71225.64
Indian Energy Exchange Limited,5353701804.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,535.3701804
Indian Oil Corporation Limited,8663450000000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,866345.0
INDIAN OVERSEAS BANK,336760771000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,33676.0771
INDIAN RAILWAY FINANCE CORPORATION LIMITED,271564100000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,27156.41
Indian Renewable Energy Development Agency Limited,67547839270.33,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,5,6754.7839270330005
IndusInd Bank Limited,551360564000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,55136.0564
Indus Towers Limited,301227800391.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,2,30122.7800391
Infibeam Avenues Limited,37265139835.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,4,3726.5139835
Infosys Limited,1629896491143.18,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,5,162989.649114318
INOX India Limited,12962996000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,1296.2996
Inox Wind Limited,35631810812.38,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,5,3563.181081238
INTELLECT DESIGN ARENA LIMITED,17352530000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,1735.253
InterGlobe Aviation Limited,895936268232.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,6,89593.6268232
Ion Exchange India Limited,25400625000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,2540.0625
Ipca Laboratories Limited,6749210000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,2,674.921
IRB Infrastructure Developers Limited,82017610000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,7,8201.761
Ircon International Limited,119504000000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,5,11950.4
ISGEC Heavy Engineering Limited,50793762830.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,5079.376283
ITC Limited,743256484150.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,74325.648415
JAIPRAKASH POWER VENTURES LIMITED,67627895017.41,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,2,BRSR XBRL,2023-24,High,6,6762.789501741
