Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Larsen & Toubro Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,299,139.0
Sanofi India Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,298,139.0
Mahindra & Mahindra Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,297,139.0
DIVI'S LABORATORIES LIMITED,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,296,139.0
JK Tyre & Industries Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,293,139.0
Schaeffler India Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,295,139.0
Jindal Saw Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,289,139.0
Narayana Hrudayalaya Ltd.,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,291,139.0
Dr. Reddy's Laboratories Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,287,139.0
Century Plyboards (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,286,139.0
NBCC (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,285,139.0
Safari Industries (India) Limited,Other Business Services,45416494845.0,504.6277205,Other business activities,0.05,25.231386025000003,0.05,0.5555555555555556,288,139.0
Minda Corporation Limited,Other Business Services,45000000000.0,500.0,Other business activities,0.05,25.0,0.05,0.5555555555555556,301,139.0
"Aditya Birla Fashion (Allen Solly, Peter England)",Other Business Services,35000000000.0,388.8888888888889,Other business activities,0.05,19.444444444444446,0.05,0.5555555555555556,331,139.0
SpiceJet,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,383,139.0
Sanghi Industries,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,387,139.0
Tamil Nadu Newsprint and Papers (TNPL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,386,139.0
Rama Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,385,139.0
Parle Products,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,384,139.0
Signatureglobal (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,379,139.0
IndiGo (InterGlobe Aviation),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,382,139.0
Neyveli Lignite Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,381,139.0
Dabur India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,380,139.0
Marico,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,389,139.0
Vesuvius India Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,378,139.0
Andhra Pradesh Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,388,139.0
Monnet Ispat,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,392,139.0
Damodar Valley Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,390,139.0
Hindustan Paper Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,391,139.0
Tayo Rolls,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,375,139.0
Raymond,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,393,139.0
West Coast Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555,394,139.0
