Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,City_State_Key,Latitude,Longitude,Geocoded_Address,Geocoding_Method,Geocoding_Status
APL Apollo Tubes Limited,3,Plant,"Hyderabad, Sikanderabad, and Bangalore",Hyderabad,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Hyderabad, Karnataka, India",17.8735537,77.5580663,"Hyderabad Road, Shahapura, Shahpura, Bidar taluku, Bidar, Karnataka, India",City_Level,Success
Apollo Tyres Limited,1,Registered Office,"3rd Floor, Areekal Mansion, Pampilly Nagar, Kochi-682036 (Kerala), India",Kochi,Kerala,India,XBRL_RegisteredOffice,False,Tier_1,"Kochi, Kerala, India",9.9679032,76.2444378,"Kochi, Ernakulam, Kerala, 682001, India",City_Level,Success
Apollo Tyres Limited,2,Corporate Office,"7, Apollo House, Institutional Area, Sector-32, Gurugram-122001, Haryana",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Gurugram, Haryana, India",13.0836939,80.270186,"Gurugram, Haryana, India",City_Level,Success
Aptus Value Housing Finance India Limited,1,Registered Office,"NO. 8B, DOSHI TOWERS, 8TH FLOOR, NO:205, POONAMALLEE HIGH ROAD, KILPAUK, CHENNAI, Tamil Nadu, India, 600010",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice,False,Tier_1,"Chennai, Tamil Nadu, India",13.0836939,80.270186,"Chennai Corporation, Chennai, Tamil Nadu, India",City_Level,Success
Archean Chemical Industries Limited,1,Registered Office,"No.2, North Crescent Road, T Nagar Chennai, Tamil Nadu-600017",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice,False,Tier_1,"Chennai, Tamil Nadu, India",13.0836939,80.270186,"Chennai Corporation, Chennai, Tamil Nadu, India",City_Level,Success
ARVIND LIMITED,1,Registered Office,"NARODA ROAD, AHMEDABAD",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success
ARVIND LIMITED,2,Plant,Sabarmati Basin and Cauvery & Pennar Basin,Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,", , India",13.0836939,80.270186,India,City_Level,Success
Asahi India Glass Limited,1,Registered Office,"A-2/10, 1st Floor, WHS DDA Marble Market, Kirti Nagar,
New Delhi-110 015",Delhi,Delhi,India,XBRL_RegisteredOffice,False,Tier_1,"Delhi, Delhi, India",28.6138954,77.2090057,"New Delhi, Delhi, India",City_Level,Success
Asahi India Glass Limited,2,Corporate Office,"3rd Floor, Tower – D, Global Business Park, Mehrauli-Gurgaon Road, Gurgaon – 122002, Haryana",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Gurgaon, Haryana, India",13.0836939,80.270186,"Gurugram, Haryana, India",City_Level,Success
Asahi India Glass Limited,3,Plant,"Bawal (Haryana), Bengaluru (Karnataka), Chennai (Tamil Nadu) and Soniyana (Rajasthan)",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Bengaluru, Karnataka, India",12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success
