Company_Name,NSE_Symbol,Sector,Land_Footprint_Hectares,Data_Source,Data_Tier,Confidence,Status
SKF INDIA LIMITED,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Brigade Enterprises Limited,BRIGADE,Realty,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Sundram Fasteners Limited,SUNDRMFAST,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Aarti Industries Limited,AARTIIND,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
Kansai Nerolac Paints Limited,KANSAINER,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
CreditAccess Grameen Limited,CREDITACC,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
NBCC (India) Limited,NBCC,Construction,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Emami Limited,EMAMILTD,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
JBM Auto Limited,JBMA,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
LAURUS LABS LIMITED,LAURUSLABS,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Radico Khaitan Limited,RADICO,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Ratnamani Metals & Tubes Limited,RATNAMANI,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
