Company_Name,Sector,Revenue_Cr
Responsive Industries Limited,Unknown,0
RHI Magnesita India Ltd,Unknown,0
RITES Limited,Unknown,0
Route Mobile Limited,Unknown,0
R R Kabel Limited,Unknown,0
Safari Industries India Limited,Unknown,0
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Unknown,0
Sandur Manganese  Iron Ores Limited,Unknown,0
SAPPHIRE FOODS INDIA LIMITED,Unknown,0
SARDA ENERGY  MINERALS LIMITED,Unknown,0
SAREGAMA India Limited,Unknown,0
SBFC Finance Limited,Unknown,0
SBI Cards and Payment Services Limited,Unknown,0
SBI Life Insurance Company Limited,Unknown,0
Schneider Electric Infrastructure Limited,Unknown,0
Sheela Foam Limited,Unknown,0
SHIPPING CORPORATION OF INDIA LIMITED,Unknown,0
Shoppers Stop Limited,Unknown,0
Shree Renuka Sugars Limited,Unknown,0
Shriram Finance Limited,Unknown,0
Shyam Metalics and Energy Limited,Unknown,0
Signatureglobal India Limited,Unknown,0
SJVN Limited,Unknown,0
SKF INDIA LIMITED,Unknown,0
Sobha Limited,Unknown,0
Solar Industries India Limited,Unknown,0
Sonata Software Limited,Unknown,0
Sona BLW Precision Forgings Limited,Unknown,0
SRF LIMITED,Unknown,0
Star Cement Limited,Unknown,0
Star Health and Allied Insurance Company Limited,Unknown,0
STATE BANK OF INDIA,Unknown,0
Steel Authority of India Limited,Unknown,0
Sterling and Wilson Renewable Energy Limited,Unknown,0
SUMITOMO CHEMICAL INDIA LIMITED,Unknown,0
SUNDARAM FINANCE LIMITED,Unknown,0
Sundram Fasteners Limited,Unknown,0
Sun Pharmaceutical Industries Limited,Unknown,0
Sun Pharma Advanced Research Company Limited,Unknown,0
Sun TV Network Limited,Unknown,0
Supreme Industries Limited,Unknown,0
SUPREME PETROCHEM LIMITED,Unknown,0
SUZLON ENERGY LIMITED,Unknown,0
Syngene International Limited,Unknown,0
Syrma SGS Technology Limited,Unknown,0
Tamilnad Mercantile Bank Limited,Unknown,0
Tanla Platforms Limited,Unknown,0
TATA CHEMICALS LIMITED,Unknown,0
TATA COMMUNICATIONS LIMITED,Unknown,0
Tata Consultancy Services Limited,Unknown,0
Tata Consumer Products Limited,Unknown,0
Tata Elxsi Limited,Unknown,0
Tata Investment Corporation Limited,Unknown,0
Tata Motors Limited,Unknown,0
Tata Steel Limited,Unknown,0
Tata Technologies Limited,Unknown,0
Tata Teleservices Maharashtra Limited,Unknown,0
TBO Tek Limited,Unknown,0
Techno Electric  Engineering Company Limited,Unknown,0
Tech Mahindra Limited,Unknown,0
TEGA INDUSTRIES LIMITED,Unknown,0
Tejas Networks Limited,Unknown,0
Thermax Limited,Unknown,0
THE NEW INDIA ASSURANCE COMPANY LIMITED,Unknown,0
THE PHOENIX MILLS LIMITED,Unknown,0
The Ramco Cements Limited,Unknown,0
Thomas Cook  India  Limited,Unknown,0
Timken India Limited,Unknown,0
TITAGARH RAIL SYSTEMS LIMITED,Unknown,0
Titan Company Limited,Unknown,0
Torrent Pharmaceuticals Limited,Unknown,0
Torrent Power Limited,Unknown,0
TRIDENT LIMITED,Unknown,0
Triveni Engineering  Industries Limited,Unknown,0
Triveni Turbine Limited,Unknown,0
TTK PRESTIGE LIMITED,Unknown,0
Tube Investments of India Limited,Unknown,0
TVS Holdings Limited,Unknown,0
TVS Motor Company Limited,Unknown,0
TVS Supply Chain Solutions Limited,Unknown,0
Ujjivan Small Finance Bank Limited,Unknown,0
UltraTech Cement Limited,Unknown,0
UNION BANK OF INDIA,Unknown,0
UNITED BREWERIES LIMITED,Unknown,0
United Spirits Limited,Unknown,0
Uno Minda Limited,Unknown,0
UPL LIMITED,Unknown,0
Usha Martin Limited,Unknown,0
UTI Asset Management Company Limited,Unknown,0
V-GUARD INDUSTRIES LIMITED,Unknown,0
VALOR ESTATE LIMITED,Unknown,0
Varroc Engineering Limited,Unknown,0
Vedanta Limited,Unknown,0
Vedant Fashions Limited,Unknown,0
