Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Land_Degraded_ha,Land_Restored_ha,Total_Land_ha,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Renewable_Energy_Pct,Total_Energy_GJ,Renewable_Energy_GJ
BATA INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,3488.026095156,0.62,0.0374641669027132,0.005225,0.0066765689795004,0.005225,0.0119015689795004,0.0181777749999999,Tier 2,75%,342.21,4452.89,15400.0,488359.0,580.37,0.0,4795.1,1374.7316875464896,140010.13371952952,166.3892368253751,0.0,OK,42.0,850.0,0.0,0.0,892.0,0.0,0.0,0.0,12.0,,
BEML Limited,Chemicals & Fertilizers,Bangalore,Karnataka,3965.0,0.48,0.0374641669027132,0.005225,0.0044358165055013,0.005225,0.0096608165055013,0.02118215,Tier 2,75%,2829.31,8429.72,0.0,384315.0,7512.43,0.0,11259.03,2839.6040353089534,96926.86002522068,1894.6860025220683,0.0,OK,1250.0,115.0,0.0,45.0,1365.0,0.0,0.0329670329670329,45.0,14.5,,
BHARAT ELECTRONICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,23024.0983334,0.52,0.0374641669027132,0.005225,0.0009829641651652,0.005225,0.0062079641651652,0.1035542749999999,Tier 2,75%,9204.38,17926.0,12400.0,1447204.0,1345.52,0.0,27130.38,1178.3471216609253,62856.05538352864,58.43963922131604,0.0,OK,1140.0,245.0,0.0,15.0,1385.0,0.0,0.0108303249097472,15.0,18.5,,
BHARAT HEAVY ELECTRICALS LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,28842.87,0.58,0.0374641669027132,0.005225,0.0009094386139695,0.005225,0.0061344386139695,0.1248409249999999,Tier 2,75%,135975.14,161227.44,0.0,9252632.0,56296.4,3.65,297202.58,10304.195802983546,320794.4285710819,1951.830729743608,3.65,OK,12400.0,850.0,0.0,450.0,13250.0,0.0,0.0339622641509433,450.0,1.2,,
BLS International Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,138.4863383,0.45,0.0374641669027132,0.005225,0.0100529964855223,0.005225,0.0152779964855223,0.008762325,Tier 2,75%,19.84,322.8,5400.0,4662.77,0.0,,342.64,2474.1790721460648,33669.530563362445,0.0,,OK,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1200.0,0.0
Bajaj Auto Limited,Chemicals & Fertilizers,Pune,Maharashtra,51431.0,0.42,0.0374641669027132,0.005225,0.000352130471056,0.005225,0.005577130471056,0.2334791249999999,Tier 2,75%,23385.0,70779.0,5678000.0,983915.3,15587.1,0.0,94164.0,1830.8802084346016,19130.78299080321,303.0681884466567,0.0,OK,450.0,0.0,0.0,25.0,450.0,0.0,0.0555555555555555,25.0,6.86,,
Bajaj Finance Limited,Financial Services,Ahmedabad,Gujarat,69724.78409169799,0.51,0.0011797441546504,0.000297,1.0943027152008005e-05,0.000297,0.000307943027152,0.016329654,Tier 2,75%,6169.13,35483.1,20452.05,0.0,127.0,,62104.28,890.7059492407184,0.0,1.8214470170746888,,OK,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Bajaj Finserv Limited,Financial Services,Mumbai,Maharashtra,133822.12,0.55,0.0011797441546504,0.000297,5.87825376242465e-06,0.000297,0.0003028782537624,0.032783751,Tier 2,75%,8966.0,49491.0,28753.0,0.0,213.16,,93795.0,700.8930959993759,0.0,1.5928607318431365,,OK,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,,
Bajaj Holdings  Investment Limited,Financial Services,Delhi,Delhi,3175.69,0.62,0.0011797441546504,0.000297,0.0003880325601502,0.000297,0.0006850325601502,0.000559845,Tier 2,75%,2055.64,7.74,,0.0,0.0,,2063.38,649.7422607370366,0.0,0.0,,OK,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,500.0,0.0
Balkrishna Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,10412.884288819,0.48,0.0374641669027132,0.005225,0.0019621167608622,0.005225,0.0071871167608622,0.0478871249999999,Tier 2,75%,675773.0,83684.0,185000.0,2087281.0,20494.11,112.0,759457.0,72934.35506773843,200451.7616930836,1968.149211261848,0.0,OK,850.0,45.0,0.0,0.0,895.0,0.0,0.0,0.0,0.44,6729707.0,29820.0
Balrampur Chini Mills Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,5593.740142973001,0.52,0.0374641669027132,0.005225,0.0034670522849992,0.005225,0.0086920522849992,0.0293592749999999,Tier 2,75%,3492.0,2088.0,710707.0,2086269.46,97370.29,185.0,716287.0,128051.53290858856,372965.0299577869,17407.009891640933,0.0,OK,1150.0,85.0,0.0,15.0,1235.0,0.0,0.0121457489878542,15.0,99.87,29758408.25,29721662.47
