Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
SUPREME PETROCHEM LIMITED,,1,4,3,"['Office', 'Facility']"
IFCI Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Eris Lifesciences Limited,Healthcare,4,8,4,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Aavas Financiers Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
eClerx Services Limited,Services,2,5,3,"['Office', 'Branch']"
Nuvoco Vistas Corporation Limited,Construction Materials,1,8,7,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Anant Raj Limited,Realty,2,5,3,"['Office', 'Facility']"
Newgen Software Technologies Limited,Information Technology,1,4,3,"['Office', 'Data Center', 'Development Center']"
PTC Industries Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
Akzo Nobel India Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Garden Reach Shipbuilders & Engineers Limited,Capital Goods,0,4,4,"['Office', 'Facility']"
Birla Corporation Limited,Construction Materials,3,10,7,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Maharashtra Seamless Limited,Capital Goods,2,5,3,"['Office', 'Facility']"
GRAPHITE INDIA LIMITED,Capital Goods,2,5,3,"['Office', 'Facility']"
UTI Asset Management Company Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
JK Tyre & Industries Limited,Automobile and Auto Components,0,6,6,"['Plant', 'Office', 'Warehouse', 'R&D']"
Equitas Small Finance Bank Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
BAJAJ ELECTRICALS LIMITED,Consumer Durables,4,7,3,"['Factory', 'Office', 'Warehouse', 'Store']"
GODAWARI POWER AND ISPAT LIMITED,,2,5,3,"['Office', 'Facility']"
PNC Infratech Limited,Construction,2,8,6,"['Office', 'Yard', 'Warehouse']"
Aether Industries Limited,Chemicals,1,5,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
MMTC LIMITED,Services,1,4,3,"['Office', 'Branch']"
KFin Technologies Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
