Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag
Blue Dart Express Limited,Transportation & Logistics,Hyderabad,Telangana,5268.0,0.45,0.065,0.0125,0.0055523917995444,0.0125,0.0180523917995444,0.06585,Tier 2,75%,170806.0,15906.0,309989.0,87154.17,234.67,0.0,496701.0,94286.45,16544.07,44.55,0.0,OK
Blue Star Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,9685.0,0.42,0.0144770016599194,0.003465,0.0006278100874719,0.003465,0.0040928100874719,0.033558525,Tier 2,75%,2720.37,16463.5,,203967.4,7517.87,0.0,19183.87,1980.78,21060.13,776.24,0.0,OK
Bosch limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,16727.0,0.51,0.0374641669027132,0.005225,0.0011422684952701,0.005225,0.0063672684952701,0.0873985749999999,Tier 2,75%,8455.06,0.0,,473149.42,7427.96,0.0,8455.06,505.47,28286.57,444.07,0.0,OK
Brigade Enterprises Limited,Real Estate & Construction,Mumbai,Maharashtra,3043.0,0.55,0.07,0.0035,0.0126519881695695,0.0035,0.0161519881695695,0.0106505,Tier 2,75%,6400.85,30756.8,446203.7,1782471.5,620739.02,0.0,483361.35,158843.69,585761.26,203989.16,0.0,OK
Britannia Industries Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,16769.0,0.62,0.0144770016599194,0.003465,0.0005352579777655,0.003465,0.0040002579777655,0.058104585,Tier 2,75%,105325.0,82969.0,4018960.0,1065418.0,21901.6,,4207254.0,250894.75,63534.98,1306.08,,OK
CCL Products India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,2653.0,0.48,0.0374641669027132,0.005225,0.0067782887724471,0.005225,0.0120032887724471,0.0138619249999999,Tier 2,75%,37339.07,34533.83,,1298799.0,330.094,0.0,71872.9,27090.84055785903,489558.6128910667,124.38748586505842,0.0,OK
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,379.0,0.52,0.0374641669027132,0.005225,0.0514020231910576,0.005225,0.0566270231910576,0.0019802749999999,Tier 2,75%,,,,42.0,0.0,,,,110.82,0.0,,PARTIAL ENV DATA
CEAT Limited,Chemicals & Fertilizers,Kolkata,West Bengal,11943.0,0.58,0.0374641669027132,0.005225,0.0018194102657266,0.005225,0.0070444102657266,0.0624021749999999,Tier 2,75%,100208.0,170128.0,1346498.0,1387402.0,32075.03,0.0,1616834.0,135379.22,116168.63,2685.68,0.0,OK
CERA Sanitaryware Limited,Chemicals & Fertilizers,Hyderabad,Telangana,1804.0,0.45,0.0374641669027132,0.005225,0.0093452744491246,0.005225,0.0145702744491246,0.0094259,Tier 2,75%,19832.0,5943.0,0.0,164605.0,18984.46,0.0,25775.0,14287.69,91244.46,10523.54,0.0,OK
CESC Limited,Power Generation,Pune,Maharashtra,15102.0,0.42,0.1562256571307733,0.0054449999999999,0.0043447739368907,0.0054449999999999,0.0097897739368906,0.0822303899999984,Tier 2,75%,5515193.14,24567.6,,84057523.0,346.81,0.0,5539760.739999999,366822.99,5565986.16,22.96,0.0,OK
CG Power and Industrial Solutions Limited,Power Generation,Ahmedabad,Gujarat,8046.0,0.51,0.1562256571307733,0.0054449999999999,0.0099024465742846,0.0054449999999999,0.0153474465742845,0.0438104699999991,Tier 2,75%,2181.0,31365.0,300000.0,324791.0,16933.75,0.0,333546.0,41454.88,40366.77,2104.62,0.0,OK
CHENNAI PETROLEUM CORPORATION LIMITED,Oil & Gas,Mumbai,Maharashtra,74516.0,0.55,0.0971185610539406,0.0154274999999999,0.0007168287157075,0.0154274999999999,0.0161443287157074,1.1495955899999926,Tier 2,75%,2414265.98,15007.0,29.8,8954332.0,27853.09,0.0,2429302.78,32601.09,120166.57,373.79,0.0,OK
CITY UNION BANK LIMITED,Financial Services,Delhi,Delhi,6108.0,0.62,0.0011797441546504,0.000297,0.0001197513712971,0.000297,0.0004167513712971,0.001814076,Tier 2,75%,330.06,31663.71,,93966.48,8.81,,31993.77,5238.01,15384.17,1.44,,OK
COAL INDIA LIMITED,Steel & Iron,Bangalore,Karnataka,128204.0,0.48,0.0840934065650114,0.0096249999999999,0.000314848484846,0.0096249999999999,0.0099398484848459,1.2339634999999871,Tier 2,75%,26676819.21,8319234.08,893653.7,5892.2,5430158705.62,0.0,35889706.99,279942.18,45.96,42355610.63,0.0,OK
COROMANDEL INTERNATIONAL LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,22133.0,0.52,0.0374641669027132,0.005225,0.0008801954904175,0.005225,0.0061051954904175,0.1156449249999999,Tier 2,75%,82938.0,164674.0,,7319074.0,95159.7,0.0,247612.0,11187.46,330686.03,4299.45,0.0,OK
Campus Activewear Limited,Chemicals & Fertilizers,Kolkata,West Bengal,1423.0,0.58,0.0374641669027132,0.005225,0.015270004781148,0.005225,0.020495004781148,0.007435175,Tier 2,75%,591.6,14111.51,,105694.92,2739.84,0.0,14703.11,10332.47,74276.12,1925.4,0.0,OK
