Company_Name,NSE_Symbol,Sector,XBRL_URL,Download_Success,Status,File_Size_KB
DIVI'S LABORATORIES LIMITED,DIVISLAB,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482490_14072025065921_WEB.xml,True,Success,730.6083984375
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1479735_09072025100330_WEB.xml,True,Success,799.568359375
Canara Bank,CANBK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469688_23062025042640_WEB.xml,True,Success,896.9140625
TVS Motor Company Limited,TVSMOTOR,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494393_26072025025925_WEB.xml,True,Success,874.1201171875
Dr. Reddy's Laboratories Limited,DRREDDY,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475030_30062025061833_WEB.xml,True,Success,981.6962890625
Havells India Limited,HAVELLS,Consumer Durables,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1441641_16052025080044_WEB.xml,True,Success,782.404296875
Dabur India Limited,DABUR,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1479590_09072025061811_WEB.xml,True,Success,1015.78125
HERO MOTOCORP LIMITED,HEROMOTOCO,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481517_12072025022949_WEB.xml,True,Success,759.7705078125
JSW Energy Limited,JSWENERGY,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468340_19062025113100_WEB.xml,True,Success,1074.751953125
Zydus Lifesciences Limited,ZYDUSLIFE,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484341_16072025043122_WEB.xml,True,Success,866.205078125
Bajaj Holdings & Investment Limited,BAJAJHLDNG,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482610_14072025101747_WEB.xml,True,Success,645.4423828125
NHPC Limited,NHPC,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507555_08082025082208_WEB.xml,True,Success,1118.484375
Shriram Finance Limited,SHRIRAMFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470423_24062025053554_WEB.xml,True,Success,772.5419921875
IDBI Bank Limited,IDBI,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470852_25062025020648_WEB.xml,True,Success,757.826171875
JINDAL STEEL & POWER LIMITED,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1507744_08082025104145_WEB.xml,True,Success,911.4169921875
Torrent Pharmaceuticals Limited,TORNTPHARM,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477480_04072025063440_WEB.xml,True,Success,875.6904296875
BHARAT HEAVY ELECTRICALS LIMITED,BHEL,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494413_26072025032312_WEB.xml,True,Success,809.71484375
MANKIND PHARMA LIMITED,MANKIND,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1483576_15072025070806_WEB.xml,True,Success,881.935546875
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503581_06082025120641_WEB.xml,True,Success,1277.0390625
United Spirits Limited,UNITDSPR,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503803_06082025022144_WEB.xml,True,Success,903.7001953125
Bosch limited,BOSCHLTD,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478652_08072025034730_WEB.xml,True,Success,839.3662109375
Cummins India Limited,CUMMINSIND,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1483719_15072025091556_WEB.xml,True,Success,727.0478515625
Polycab India Limited,POLYCAB,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1497290_30072025100412_WEB.xml,True,Success,847.0361328125
CG Power and Industrial Solutions Limited,CGPOWER,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476706_03072025104423_WEB.xml,True,Success,800.0712890625
Vodafone Idea Limited,IDEA,Telecommunication,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500518_01082025063323_WEB.xml,True,Success,746.2255859375
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468822_20062025125302_WEB.xml,True,Success,740.2646484375
ICICI Lombard General Insurance Company Limited,ICICIGI,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469230_20062025074810_WEB.xml,True,Success,806.12890625
HDFC Asset Management Company Limited,HDFCAMC,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467816_18062025103258_WEB.xml,True,Success,757.263671875
MAX HEALTHCARE INSTITUTE LIMITED,MAXHEALTH,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477638_05072025101418_WEB.xml,True,Success,869.15234375
Indus Towers Limited,INDUSTOWER,Telecommunication,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1506311_08082025030228_WEB.xml,True,Success,920.2373046875
Solar Industries India Limited,SOLARINDS,Chemicals,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473867_27062025095923_WEB.xml,True,Success,782.7197265625
Tube Investments of India Limited,TIINDIA,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477627_04072025113120_WEB.xml,True,Success,809.7060546875
Lupin Limited,LUPIN,Healthcare,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1488232_21072025103722_WEB.xml,True,Success,908.2421875
