Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
Page Industries Limited,5.81,0.1,4.14,2.203e-07,0.0,237.02,0.0,993.0,11945.0,518189.68,108718.13,72914.36,35803.77,304.5,6204.84,5900.34,16523.85,175627.81,1.26e-08,5677.46,4.32,3.224e-07,5.0,0.504,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Persistent Systems Limited,0.5,0.6,8.4,0.5016283576,0.0,4.6,0.0,274.51,4541.04,3105.59,59887.99,25772.45,34115.54,0.89,122.19,121.2,9799.99,87333.81,0.0010234768,121.2,0.0,0.6494317605,0.5,0.612,Chemicals & Fertilizers,Tier 2,0.5,25,100.0
Petronet LNG Limited,2.17,0.02,2.21,9.5989e-06,0.0,0.0,0.0,242656.83,177244.17,90552625.27,4893487.36,4890484.48,3002.88,8.11,15.93,9.05,14217.61,12693.42,0.0,4.86,0.0,3.748e-07,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Pfizer Limited,2.46,0.28,1.19,8.665e-07,0.0,45.86,0.0,56.0,1619.0,,19768.0,8821.0,10947.0,41.16,143.2,102.05,0.0,35255.0,6.3e-09,100.86,0.0,1.5454e-06,1.0,0.744,Chemicals & Fertilizers,Tier 2,1.0,24,96.0
Pidilite Industries Limited,19.07,0.31,4.08,5.4688e-06,0.0,1112.9,0.0,8690.0,38535.0,,660230.0,321333.0,338897.0,5208.63,21756.68,17068.44,444829.0,959185.0,1.802e-07,17068.44,0.0,4.2605e-06,20.0,0.576,Chemicals & Fertilizers,Tier 2,20.0,24,96.0
Piramal Enterprises Limited,0.0,0.0,1.13,3.3802899053,,0.0,0.0,91.96,5843.39,,34714.09,30168.04,4546.05,0.0,161.8,1.13,0.0,175365.88,0.0157553001,1.13,0.0,17.0762798017,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,23,92.0
Piramal Pharma Limited,15.21,14.57,10.68,3.47677e-05,,380.5,0.0,32279.0,64667.0,,1837718.9,1329001.62,508717.28,1630.12,21736.85,20106.73,86347.0,586366.0,4.112e-07,10505.66,0.0,9.4598e-06,1.0,0.29,Pharmaceuticals,Tier 2,1.0,23,92.0
Polycab India Limited,9.0,0.0,377.0,65.2928398667,0.0,4654.0,0.0,29061.0,155118.0,5352123.0,1430762.0,1273208.0,157554.0,5785.0,25005.0,19220.0,15360.0,296168.0,1.1411034546,19214.0,0.0,12.8146762196,5.0,0.54,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
Poonawalla Fincorp Limited,0.0,0.559,1.76,3.1167555484,,0.0,0.0,347.1,2545.49,250144.89,13161.56,12979.0,182.56,0.559,25.269,22.95,0.0,297348.3,0.0059838876,21.41,1.54,70.4142946453,0.1,0.504,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
Power Finance Corporation Limited,0.0,0.0,0.38,1.11e-08,,0.0,0.0,2.78,1182.41,,5892.67,5892.67,0.0,0.38,0.38,0.0,24617.82,30772.28,0.0,0.0,0.0,1.15e-08,0.1,1.275,Power Generation,Tier 2,0.1,23,92.0
Power Grid Corporation of India Limited,223.606,0.0,7.476,36.1377628388,,5.831,0.0,49785.0,267643.0,,1654832.0,1489215.0,165617.0,37.375,9332.967,3082.413,1424771.0,3017030.0,0.2038107482,3082.413,0.0,34.7713109971,100.0,1.375,Power Generation,Tier 2,100.0,23,92.0
Power Mech Projects Limited,0.0,0.0,0.0,5.1713e-05,,0.0,0.0,,,,2293690.36,2217757.72,75932.64,0.0,0.0,0.0,0.0,10501.13,0.0,0.0,0.0,2.368e-07,1.0,1.55,Power Generation,Tier 2,1.0,21,84.0
Praj Industries Limited,0.0,0.0011,2.0,1.009e-06,0.0,20.12,0.0,1610.0,5986.0,,32570.0,31760.0,810.0,8.84,292.5811,0.0,26627.0,76531.0,9.1e-09,0.0,0.0,1.5459e-06,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Prestige Estates Projects Limited,1.75,0.0,0.0,9.4938e-06,0.0,57.41,0.0,6941.54,60270.9,,697738.69,378176.24,319562.45,1113.88,1725.32,611.95,0.0,584959.0,2.35e-08,549.26,0.0,7.9593e-06,5.0,0.624,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
Prism Johnson Limited,6.6,0.17,6.6,0.0002594822,0.0,72.28,0.0,3828849.0,263658.0,,17451967.0,15801142.0,1650825.0,0.17,66545.45,66545.28,240.0,1627069.0,9.894e-07,27865.08,38680.2,2.41883e-05,50.0,0.696,Chemicals & Fertilizers,Tier 2,50.0,24,96.0
Procter  Gamble Health Limited,0.0,0.74,0.08,4.6575e-06,0.0,21.96,0.0,263.0,4273.0,,43509.0,24901.0,18608.0,60.03,196.15,115.92,54755.0,57909.0,2.1e-08,109.72,0.0,6.199e-06,,0.54,Chemicals & Fertilizers,Tier 2,,22,88.0
Punjab  Sind Bank,0.0,0.0,4867.252,1.4127e-06,0.0,0.0,0.0,4724.06,27316.1,,184339.19,184338.47,0.72,0.0,4867.252,0.0,69734.61,87168.27,3.73e-08,0.0,0.0,1.336e-07,,0.0042,Financial Services,Tier 2,,22,88.0
Quess Corp Limited,0.0,0.0,3.528,3.67e-08,,0.0,0.0,389.46,795.22,,5061.66,5061.66,0.0,0.0,3.528,3.528,12594.69,41982.0,0.0,3.528,0.0,3.045e-07,0.2,0.612,Chemicals & Fertilizers,Tier 2,0.2,23,92.0
R R Kabel Limited,0.0,0.0037,0.06,45.2271159417,0.0,93.62,0.0,1103.9,53950.29,319162.17,343797.54,288669.19,55128.35,47.29,2857.8411,2810.54,35195.75,50202.51,0.3759535649,2808.85,1.69,7.1081893501,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
RAJESH EXPORTS LIMITED,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,17,68.0
