Company_Name,Sector,Location_Type,NumberOfLocations,Scope3_Relevance,Scope3_Factor,Note
MAX HEALTHCARE INSTITUTE LIMITED,Healthcare,Clinic/Pharmacy,56,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
Mazagon Dock Shipbuilders Limited,,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
MedPlus Health Services Limited,Consumer Services,Retail Store,4,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
Minda Corporation Limited,Automobile and Auto Components,Distribution/Service Location,15,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Mishra Dhatu Nigam Limited,Capital Goods,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
MOIL Limited,Metals & Mining,Distribution/Service Location,11,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Motherson Sumi Wiring India Limited,Automobile and Auto Components,Distribution/Service Location,27,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
MRF Limited,Automobile and Auto Components,Distribution/Service Location,9,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
MUTHOOT FINANCE LIMITED,Financial Services,Bank Branch,4854,High,0.5,These locations are outside BRSR scope but relevant for Scope 3
Narayana Hrudayalaya Ltd,,Distribution/Service Location,36,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
NATCO Pharma Limited,Healthcare,Clinic/Pharmacy,9,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
NAVA LIMITED,Power,Distribution/Service Location,5,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Navin Fluorine International Limited,Chemicals,Distribution/Service Location,2,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Nestle India Limited,Fast Moving Consumer Goods,Retail Store,6,High,1.0,These locations are outside BRSR scope but relevant for Scope 3
NETWEB TECHNOLOGIES INDIA LIMITED,Information Technology,Distribution/Service Location,1,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
Neuland Laboratories Limited,Healthcare,Clinic/Pharmacy,2,High,1.2,These locations are outside BRSR scope but relevant for Scope 3
NHPC Limited,Power,Distribution/Service Location,31,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
NLC India Limited,Power,Distribution/Service Location,13,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
NMDC Limited,Metals & Mining,Distribution/Service Location,3,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
NTPC LIMITED,Power,Distribution/Service Location,32,High,0.7,These locations are outside BRSR scope but relevant for Scope 3
