Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR
SpiceJet,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Siyaram Silk Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Mother Dairy,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Ballarpur Industries (BILT),Other Business Services,20000000000.0,222.22222222222223,Other business activities,0.05,11.111111111111112,0.05,0.5555555555555556
Damodar Valley Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Marico,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
IndiGo (InterGlobe Aviation),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
ITC Limited (Paperboards Division),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
CCL Products (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Hindustan Paper Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Hindustan Copper,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Cement Corporation of India,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Heritage Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555
Hatsun Agro Products,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Haldiram,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Gujarat State Electricity Corporation,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
Go First (GoAir),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Garden Reach Shipbuilders & Engineers Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
GVK Mumbai Airport,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
"GMR Airports (Delhi, Hyderabad)",Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
GMDC (Gujarat Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445
Century Pulp and Paper,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Essar Steel India,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Emami Paper Mills,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Electrosteel Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Coal India Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Electrosteel Castings,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Coca-Cola India,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Cochin International Airport,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Delhi International Airport Ltd (DIAL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Data Patterns (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
C.E. INFO SYSTEMS LIMITED,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.874924998666664,0.01,0.1111111111111111
Ion Exchange (India) Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
JINDAL STEEL & POWER LIMITED,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
Kesoram Industries (Cement Division),Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Mangalam Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Mahindra Holidays & Resorts India Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Bangalore International Airport Ltd (BIAL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Bharat Heavy Electricals Limited (BHEL),Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
MOIL (Manganese Ore India),Oil & Gas,65008233918.0,722.3137102,Mining of coal and lignite; extraction of peat,0.4,288.92548408,0.4,4.444444444444444
Bhushan Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Bikaji Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555
L&T Technology Services Limited,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.874924998666664,0.01,0.1111111111111111
Birla Corporation,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
JK Lakshmi Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
Kwality,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
Karnataka State Mineral Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445
Kalyani Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
Bombay Dyeing,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
KPR Mill,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112
AP Mineral Development Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445
Britannia Industries,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
JSW Energy,Power,75828899968.0,842.5433329777778,Production of electricity by coal,0.12,101.10519995733334,0.12,1.3333333333333335
Burnpur Cement,Cement,84956751986.0,943.9639109555555,Construction,0.1,94.39639109555556,0.1,1.1111111111111112
JK Paper,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
K.P.R. MILL LIMITED,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
LT Technology Services Limited,IT Services,529874324988.0,5887.492499866667,Computer and related activities,0.01,58.874924998666664,0.01,0.1111111111111111
Larsen  Toubro Limited,Other Business Services,30277663230.0,336.4184803333333,Other business activities,0.05,16.820924016666666,0.05,0.5555555555555555
LT Finance Limited,Financial Services,185899078915.0,2065.545321277778,"Financial intermediation, except insurance and pension funding",0.005,10.32772660638889,0.005,0.05555555555555556
