Company_Name,Indicator_ID,Indicator_Name,Dimension,Value,Unit,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Source_File,Verification,Calculation_Method,Tolerance,Within_Tolerance
Ajanta Pharma Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,7.4829e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Ajanta_Pharma_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Ajanta Pharma Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,22.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Ajanta_Pharma_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Ajanta Pharma Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,22.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Ajanta_Pharma_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Ajanta Pharma Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,27.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Ajanta_Pharma_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Ajanta Pharma Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,566.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Ajanta_Pharma_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Akzo Nobel India Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,3.1863e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Akzo_Nobel_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Akzo Nobel India Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,0.66,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Akzo_Nobel_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Akzo Nobel India Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,1.43,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Akzo_Nobel_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Akzo Nobel India Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Akzo_Nobel_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Akzo Nobel India Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,0.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Akzo_Nobel_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
