Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_Reported_ha,Land_Degraded_HA_Calculated,Land_Degradation_Pct,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD
Anand Rathi Wealth Limited,Financial Services,Pune,Maharashtra,905.0699,0.42,0.0011797441546504,0.000297,0.0006588996608419,0.000297,0.0009558996608418,0.2688057603,Tier 2,75%,12.21,789.87,450.0,774.24,0.0,,1252.08,1383.406961163994,855.4477394508425,0.0,,OK,,5.0,5.0,,,,,,,0.22,,,0.0,1.1,5.524435184508953,0.0,0.0,3286.71,855.4477394508425,Low-Medium (1-2),1.8228312153423785,0.0,0.0,95.0,0.45,4.5,0.000223344
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1228.5977135,0.51,0.0374641669027132,0.005225,0.0128751516983717,0.005225,0.0181001516983717,6.4194230530375,Tier 2,75%,5.61,23383.67,18440.23963164278,39510.0,937.445,0.0,41829.519631642775,34046.5550049575,32158.614301376852,763.0203033093957,0.0,OK,512.0,12.0,524.0,0.0,248.9,47.5,0.0,MSA_PROXY_HIGH,,0.475,0.0,0.475,0.0,248.9,426.5025030099081,0.0,0.0,7329.3,32158.61430137685,Extremely High (4-5),4.988669245284243,75.0,0.0,62.0,2.1,0.4,0.0077539
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,1505.316,0.55,0.0374641669027132,0.005225,0.0140554514300765,0.005225,0.0192804514300765,7.8652761,Tier 2,75%,84581.0,32046.0,236144.0,517048.0,30489.01,14.2,352771.0,234350.12980663197,343481.368696008,20254.225690818406,0.0,OK,115.0,22.0,137.0,,,,,,39.5,0.6248175182481751,,,0.0,85.6,91.0107910897114,0.0,89315.0,226114.0,343481.368696008,Extremely High (4-5),4.164464809321844,100.0,0.0,42.0,84.0,1.2,0.0076598499999999
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,17870.600635,0.62,0.0374641669027132,0.005225,0.0009152724201939,0.005225,0.0061402724201938,93.373888317875,Tier 2,75%,257515.55,241414.3,176362.23,1888750.0,32091.05,412.0,675292.08,37787.87819125812,105690.3479954019,1795.7454623628548,0.0,OK,650.0,120.0,770.0,,,,15.0,,15.5,0.6250649350649351,0.0194805194805194,,0.0,481.3,43.08752770692758,0.0,765648.0,6307029.0,105690.3479954019,High (3-4),3.742628547840497,22.6,124500.0,88.0,452.0,18.4,0.1326000499999999
Aptus Value Housing Finance India Limited,Financial Services,Bangalore,Karnataka,1798.0,0.48,0.0011797441546504,0.000297,0.0003740272088719,0.000297,0.0006710272088719,0.534006,Tier 2,75%,543.92,12771.585,450.0,0.0,0.0,,13765.505,7656.009454949944,0.0,0.0,,PARTIAL ENV DATA,,5.0,5.0,,,,,,,0.22,,,0.0,1.1,2.780867630700779,0.0,0.0,4500.0,0.0,Extremely High (4-5),4.948067374219448,0.0,0.0,92.0,0.8,2.8,0.000449658
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4347.8256667,0.52,0.0374641669027132,0.005225,0.0044867265751752,0.005225,0.0097117265751752,22.717389108507497,Tier 2,75%,260368.0,146799.0,124000.0,650486.0,32430.48,850.0,531167.0,122168.42180867749,149611.79446132647,7459.011120980556,0.0,OK,215.0,45.0,260.0,,,,,,12.0,0.625,,,0.0,162.5,59.800005780208764,0.0,102000.0,850000.0,149611.79446132647,Extremely High (4-5),4.562271697907399,10.5,4250.0,95.0,145.0,1.8,0.02268695
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,45276.0,0.58,0.0374641669027132,0.005225,0.0004745302964244,0.005225,0.0056995302964243,236.5671,Tier 2,75%,30986.68,69608.31,144225.0,878006.81,165363.86,0.0,244819.99,5407.279574167329,19392.32286421062,3652.351356126866,0.0,OK,950.0,45.0,995.0,,,,18.0,,43.5,0.5250251256281406,0.0180904522613065,,0.0,522.4,21.97632299673116,0.0,677040.0,1556090.0,19392.32286421062,Extremely High (4-5),4.784540685195696,48.0,0.0,92.5,415.0,14.8,0.2392579749999999
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,37172.75,0.45,0.0374641669027132,0.005225,0.0004749781683163,0.005225,0.0056999781683163,194.22761875,Tier 2,75%,87435.0,52727.0,3220000.0,1365903.0,19490.4,0.0,3360162.0,90393.1508968263,36744.73908979024,524.3195620447775,0.0,OK,520.0,15.0,535.0,,,,12.0,,18.47,0.6250467289719626,0.022429906542056,,0.0,334.4,14.392263149753516,0.0,238733.0,1292545.0,36744.73908979024,Medium-High (2-3),2.9185624661362515,22.4,0.0,78.0,42500.0,11.2,0.18545615
Aster DM Healthcare Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,4138.46,0.42,0.0144770016599194,0.003465,0.0004597263494001,0.003465,0.0039247263494001,14.3397639,Tier 2,75%,3058.0,46335.0,1377.0,1235522.62,2587.0,,50770.0,12267.848426709452,298546.4689763825,625.1117565471213,,OK,15.0,450.0,465.0,,,,,,2.4,0.2249462365591397,,,0.0,104.6,112.3606365652924,0.0,12250.0,245000.0,298546.4689763825,Extremely High (4-5),4.618333140372201,35.0,12450.0,22.0,18.4,14.5,0.04582809
AstraZeneca Pharma India Limited,Pharmaceuticals & Healthcare,Ahmedabad,Gujarat,1716.29166566,0.51,0.0144770016599194,0.003465,0.0057190324140657,0.003465,0.0091840324140657,5.946950621511901,Tier 2,75%,312.04,1233.65,11200.0,22534.27,26.2669,0.0,12745.69,7426.296039897534,13129.627353480415,15.304450010190466,0.0,OK,115.0,15.0,130.0,,,,,,71.5,0.5253846153846153,,,0.0,68.3,75.7447015568933,0.0,16669.0,23306.48,13129.627353480417,Extremely High (4-5),4.629067512871011,100.0,0.0,84.0,14.2,2.1,0.004473315
