Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
Adani Energy Solutions Ltd.,ADANIENSOL,ADANIENSOL,Power Generation,118282.83754859399,47313.14,
JSW Energy Ltd.,JSWENERGY,JSWENERGY,Power Generation,93268.41058606401,37307.36,
NHPC Ltd.,NHPC,NHPC,Power Generation,91551.29527503249,36620.52,
Torrent Power Ltd.,TORNTPOWER,TORNTPOWER,Power Generation,62106.4560709805,24842.58,
SJVN Ltd.,SJVN,SJVN,Power Generation,49000.413431017994,19600.17,
NLC India Ltd.,NLCINDIA,NLCINDIA,Power Generation,32265.7278029295,12906.29,
CESC Ltd.,CESC,CESC,Power Generation,18258.303672297,7303.32,
Jaiprakash Power Ventures Ltd.,JPPOWER,JPPOWER,Power Generation,12493.599296134,4997.44,
Reliance Power Ltd.,RPOWER,RPOWER,Power Generation,10537.018571491,4214.81,
KPI Green Energy Ltd.,KPIGREEN,KPIGREEN,Power Generation,9548.076705051499,3819.23,
Reliance Infrastructure Ltd.,RELINFRA,RELINFRA,Power Generation,8396.0816531695,3358.43,
Nava Ltd.,NAVA,NAVA,Power Generation,7806.6043980225,3122.64,
RattanIndia Power Ltd.,RTNPOWER,RTNPOWER,Power Generation,6272.259303006,2508.9,
PTC India Ltd.,PTC,PTC,Power Generation,6141.641114607501,2456.66,
Inox Green Energy Services Ltd.,INOXGREEN,INOXGREEN,Power Generation,3948.1768209755,1579.27,
GMR Power and Urban Infra Ltd.,GMRP&UI,GMRP&UI,Power Generation,3565.4986066214997,1426.2,
ACME Solar Holdings Ltd.,544283,ACMESOLAR,Power Generation,0.0,0.0,
NTPC Green Energy Ltd.,544289,NTPCGREEN,Power Generation,0.0,0.0,
Reliance Industries Ltd.,RELIANCE,RELIANCE,Oil & Gas,1947848.37102945,779139.35,
Oil & Natural Gas Corporation Ltd.,ONGC,ONGC,Oil & Gas,331117.6047195915,132447.04,
Coal India Ltd.,COALINDIA,COALINDIA,Oil & Gas,273683.49223739095,109473.4,
Indian Oil Corporation Ltd.,IOC,IOC,Oil & Gas,231478.4176392645,92591.37,
Bharat Petroleum Corporation Ltd.,BPCL,BPCL,Oil & Gas,127082.6755689765,50833.07,
GAIL (India) Ltd.,GAIL,GAIL,Oil & Gas,124430.80664644449,49772.32,
Adani Total Gas Ltd.,ATGL,ATGL,Oil & Gas,107112.8660521495,42845.15,
