Company_Name,Facility_ID,Facility_Type,Latitude,Longitude,City,State,Facility_Name
BANK OF INDIA,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
BANK OF MAHARASHTRA,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
BASF India Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
BATA INDIA LIMITED,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
BATA INDIA LIMITED,2,Corporate Office,28.4646148,77.0299194,Gurugram,Haryana,Corporate Office
BEML Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Bharat Dynamics Limited,1,Registered Office,17.3280563,78.5001695,Hyderabad,Telangana,Registered Office
Bharat Dynamics Limited,2,Corporate Office,17.360589,78.4740613,Hyderabad,Telangana,Corporate Office
Bharat Dynamics Limited,3,Plant,17.6935526,83.2921297,Visakhapatnam,,Plant
BHARAT ELECTRONICS LIMITED,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Bharat Forge Limited,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
BHARAT HEAVY ELECTRICALS LIMITED,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
Bharti Airtel Limited,1,Registered Office,28.4646148,77.0299194,Gurugram,Haryana,Registered Office
Bharti Airtel Limited,2,Corporate Office,28.6138954,77.2090057,Delhi,Delhi,Corporate Office
Bharti Hexacom Limited,1,Registered Office,28.4646148,77.0299194,Gurugram,Haryana,Registered Office
Bharti Hexacom Limited,2,Corporate Office,28.6138954,77.2090057,Delhi,Delhi,Corporate Office
Bikaji Foods International Limited,1,Registered Office,28.0159286,73.3171367,Bikaner,Rajasthan,Registered Office
Bikaji Foods International Limited,2,Corporate Office,28.0159286,73.3171367,Bikaner,Rajasthan,Corporate Office
Biocon Limited,1,Registered Office,16.3113039,75.9164329,Hosur,Karnataka,Registered Office
Birlasoft Limited,1,Registered Office,18.5213738,73.8545071,Pune,Maharashtra,Registered Office
Birlasoft Limited,2,Corporate Office,28.5706333,77.3272147,Noida,Uttar Pradesh,Corporate Office
Birlasoft Limited,4,Facility,18.5213738,73.8545071,Pune,Maharashtra,Facility
Birla Corporation Limited,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
Birla Corporation Limited,2,Corporate Office,22.5726459,88.3638953,Kolkata,West Bengal,Corporate Office
BLS International Services Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
BLS International Services Limited,2,Corporate Office,28.6138954,77.2090057,Delhi,Delhi,Corporate Office
Blue Dart Express Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Blue Star Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Blue Star Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Bosch limited,1,Registered Office,12.9767936,77.590082,Bangalore,Karnataka,Registered Office
Bosch limited,2,Plant,12.9767936,77.590082,Bengaluru,Karnataka,Plant
Brigade Enterprises Limited,1,Registered Office,12.9767936,77.590082,Bangalore,Karnataka,Registered Office
Brigade Enterprises Limited,2,Plant,22.3511148,78.6677428,,,Plant
Britannia Industries Limited,1,Registered Office,22.5726459,88.3638953,Kolkata,West Bengal,Registered Office
Britannia Industries Limited,2,Corporate Office,12.9767936,77.590082,Bengaluru,Karnataka,Corporate Office
Campus Activewear Limited,1,Registered Office,28.6138954,77.2090057,Delhi,Delhi,Registered Office
Campus Activewear Limited,2,Corporate Office,28.4646148,77.0299194,Gurugram,Haryana,Corporate Office
Canara Bank,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Can Fin Homes Limited,1,Registered Office,12.9767936,77.590082,Bengaluru,Karnataka,Registered Office
Caplin Point Laboratories Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Capri Global Capital Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Carborundum Universal Limited,1,Registered Office,13.0836939,80.270186,Chennai,Tamil Nadu,Registered Office
Castrol India Limited,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
Castrol India Limited,2,Facility,19.054999,72.8692035,Mumbai,Maharashtra,Facility
CCL Products India Limited,1,Registered Office,16.2915189,80.4541588,Guntur,Andhra Pradesh,Registered Office
CCL Products India Limited,2,Corporate Office,17.360589,78.4740613,Hyderabad,Telangana,Corporate Office
CEAT Limited,1,Registered Office,19.00835,72.8192608,Mumbai,Maharashtra,Registered Office
Cello World Limited,1,Registered Office,20.4334524,72.8314443,Daman,Daman and Diu,Registered Office
Cello World Limited,2,Corporate Office,19.054999,72.8692035,Mumbai,Maharashtra,Corporate Office
Central Bank of India,1,Registered Office,19.054999,72.8692035,Mumbai,Maharashtra,Registered Office
